text_1,text_2,label_1,label_2,label_3,avg_score
what be the real color of uranus ?,where be the coldest desert ?,3,4,4,3.6666666666666665
when be buddhism religion found ?,how many babe do cheryl cole want ?,1,2,2,1.6666666666666667
what do the shutter release do in a camera ?,be there any way to tell how long breast cancer last ?,1,1,1,1.0
what be the difference between bat ?,a code littlestpetshop v you ps ?,2,5,1,2.6666666666666665
how many type of doctor job be there ?,how many carbohydrate in broccoli ?,1,2,3,2.0
how hot be kathy brennan ?,how many player be on a mlb roster ?,1,3,4,2.6666666666666665
man satisfy when semen get out wat about girl how they get satisfy ?,what be the total of angle in a octagon ?,1,1,1,1.0
what be the population in buffalo new york in 2007 ?,where be earle dickson bear ?,3,4,3,3.3333333333333335
what be nonliving nature ?,attorney general for illinois ?,1,3,1,1.6666666666666667
how do you change a ford focus sidelight bulb ?,receipe call for 250 g cream cheese how much be it ?,2,2,1,1.6666666666666667
what size jeans do rihanna wear ?,what be the name of vegeta 's brother ?,1,4,1,2.0
be there any job opening for a vet what be the outlook ?,what be the electoral vote in tennessee ?,2,1,3,2.0
calorie in a deli sloppy jo ?,what be someinfo on the five pillar of faith ?,2,1,2,1.6666666666666667
how many child do roald dahl have with each wife ?,5 fact about pony express ?,1,1,1,1.0
how you dance merengue ?,how do you get the headlight on ?,1,1,2,1.3333333333333333
what era do woolly mammoth appear ?,what be the most improtant reason for a national court system ?,1,5,1,2.3333333333333335
bouyant force and the physical principle it causess ?,what year do hallaween town come out ?,4,3,1,2.6666666666666665
when be holy trinity church build ?,how can nationalism be a negative thing ?,2,1,2,1.6666666666666667
how do you remove mildew from you roof ?,what be the essential part of a personal business letter ?,1,3,1,1.6666666666666667
part in the auxillary of reference of a library ?,where be the speed sensor on a 2000 hyundaus sonata ?,4,5,1,3.3333333333333335
mars surface be make of ?,how do marco polo contribute to the growth of trade ?,1,1,1,1.0
what year be mark twain be bear ?,how do you become deluxe on webkinz ?,2,2,3,2.3333333333333335
who help robert boyle ?,what be the population of metro manila philippines ?,1,1,1,1.0
what be the difference between totaland partial eclipse ?,what be the value of a sacajawea gold dollar coin ?,3,1,1,1.6666666666666667
giant squid endanger ?,snoop dogg 's favorite food ?,4,4,2,3.3333333333333335
in what way have sloth adapt ?,what be archaea and where do you find they ?,5,3,2,3.3333333333333335
which actress win the academy award for best actess in 1973 ?,how many electoral vote do mitt romney have in maryland ?,1,2,1,1.3333333333333333
when do rap start to come out ?,what be the species name of the monkey ?,1,1,2,1.3333333333333333
what be importance of physical education ?,how many calorie be in a turkey sandwich on wheat bread with one tsp of mayo ?,4,4,1,3.0
when do winstn churchill become prime minister ?,what be the hydrocodone designation 7.5-750 ?,1,2,2,1.6666666666666667
what be the state beverage drink of ohio ?,plant be belive to have evolve from what plant ?,1,3,1,1.6666666666666667
the garbage disposal problem can best reduce by ?,what chemical be a product of glycolysis ?,4,1,3,2.6666666666666665
where be egr valve 1996 mercurt villager ?,how do stalin keep he power ?,1,2,1,1.3333333333333333
who hold the trial in the impeachment process ?,where do ben carson live ?,1,4,4,3.0
what be the ticker symbol for berkshire hathaway inc ?,what be ther difference between light and electron microscope ?,1,1,1,1.0
what do ammonite life ?,what be the economic developemnt of the middle colony ?,2,4,2,2.6666666666666665
do guy know about peter minuit because im do a report about he ?,average price of a slave ?,4,1,1,2.0
how can you use the word doldrum in a sentence ?,where do avatar be create ?,2,3,3,2.6666666666666665
three example of diatomic molecule and draw the lewi dot for each ?,what be germany 's terrestrial biome ?,2,2,1,1.6666666666666667
where can you watch episode 11 of kirarin revolution ?,realationship between vaccination and immunity ?,1,1,2,1.3333333333333333
what conflict be face by rikki tikki tavi when he encounter karait ?,new york middle colon religon ?,2,4,4,3.3333333333333335
how many baby do stingray have a year ?,how be blood type a example of incomplete dominance ?,1,4,1,2.0
what be the most exspensive cion in the world ?,how do you identify a mystery smell ?,4,2,2,2.6666666666666665
where be the scale you get from hydra ?,how do iowa get its origin name ?,3,1,2,2.0
what be som prokaryote ?,what be thing start with e exsept egg ?,1,3,1,1.6666666666666667
who have mark wahlenberg date ?,what type of schooling do you need to become a anesthesiologist ?,4,5,2,3.6666666666666665
what kind of star be alpha centaurus a ?,bacterium repoduce asexually by what ?,1,2,1,1.3333333333333333
what be the name of soulja boy ' father ?,when be cristina sanchez bear ?,1,4,3,2.6666666666666665
how do you use a dowsing machine in ?,how many tablespoon of boillon be in one cube ?,4,1,1,2.0
where be the fuel pressure regulator in a 1999 nissan sentra locate located ?,how many rabbit be it in australia ?,3,5,5,4.333333333333333
how many square mile long be ecuador ?,gameshark code for catch celebus ?,3,1,3,2.3333333333333335
how big be usc 's campus in mile ?,what be see 's candy ?,2,1,1,1.3333333333333333
what be the difference between cottage industry and the factory industry ?,what be shinchan 's dog mame ?,1,1,3,1.6666666666666667
what phobia be the fear of computar ?,how much do 1litre of stone weigh in kg ?,3,4,1,2.6666666666666665
can you get a pet wolf ?,what be the history of thanksgiving ?,1,2,2,1.6666666666666667
