text_1,text_2,label_1,label_2,label_3,avg_score
"had one mediocre meal and said , `` we 'll try again `` .","very expensive , and bad quality here .",4,1,1,2.0
"the food was mediocre at best , far too greasy and not cooked well .",she was happy that we were asking for the prices .,1,1,1,1.0
the calzones are awesome and the lunch special they have is perfect .,horrible tamales,1,1,4,2.0
said we could n't sit at the table if we were n't ordering dinner .,the trip is to die for,1,1,1,1.0
food was alright maybe we should have ordered off the mexican menu .,it was a terrible experience !,1,1,1,1.0
okay prices and great tastings at least once a month .,worst experience with a restaurant i 've had,1,1,1,1.0
maria the manager is a horrible person .,one of several saving graces was the black beans,1,4,1,2.0
but let this story begin at noon today .,incredible and amazing specials are available,1,5,2,2.6666666666666665
the food is worse than you find in the freezer section at walmart .,the service was quick and responsive,1,4,1,2.0
every person enjoyed themselves and there was nothing but praise from our entire group .,the pizza was not good,1,5,1,2.3333333333333335
great selection of salads and pasta items in the deli .,hate my cut and color and sage is awful !,2,1,1,1.3333333333333333
i highly recommend this shop .,the place was not inviting and staff seemed aloof,2,1,1,1.3333333333333333
i like this place so much i have actually inquired about purchasing a franchise .,they do n't have many choices for us sushi lovers .,1,2,1,1.3333333333333333
it 's good solid food .,"i left full and satisfied , will visit again .",3,2,3,2.6666666666666665
i looked around and there were still customers .,not something i would have again,3,3,1,2.3333333333333335
this spot was my favorite indian restaurant .,the artichokes were terrible and undercooked .,4,1,1,2.0
it looks old and outdated .,it 's located in a slum scottsdale area and is n't accomodating .,1,1,1,1.0
my jack and coke was seriously lacking .,everyone waited to eat until everyone seated had theirs .,3,2,2,2.3333333333333335
it is the most authentic thai in the valley .,the stars was _num_ plus,1,1,1,1.0
the beans were in the burro in the rice was nowhere to be found .,i wo n't be going back and suffering at this terrible place !,3,4,5,4.0
at this location the service was terrible .,"nice people are here , but it is too quiet and boring",2,1,2,1.6666666666666667
nothing but excellent customer service every time i come here .,there was more people than the usual so it was a little backed up,2,3,2,2.3333333333333335
"the beer is n't bad , but the food was less than desirable .","_num_ - _num_ % capacity at most , i enjoyed being the only one in the pool .",1,1,1,1.0
"seriously though , i have never shopped here .",hate their food and their passion .,4,1,1,2.0
"was n't busy , no biggie .",i would rated this a little higher if i could,1,4,2,2.3333333333333335
"the portions were huge , the food came out hot , fresh and good .",very nice massage made my maicure and pedicure great,2,2,2,2.0
"no , i 'm not at a scottsdale club .",the new management team is great !,1,1,1,1.0
"amazing food , great service .",if you are a bride to be stay away,3,1,4,2.6666666666666665
"plus he has amazing prices , how could you not go ?",i was so full i could not way for the rest of the day .,4,3,3,3.3333333333333335
"absolutely terrible , do not order from this place .",these chips are okay but their salsa is really tasty,5,5,2,4.0
great service by the staff .,bread was offered at no charge,5,1,1,2.3333333333333335
got screwed at bar that we made reservations at next door .,certainly a bad choice when going to a performing arts center event,3,3,1,2.3333333333333335
"oh sushi kee , how i love thee !",the gyro sauce was bad,5,1,1,2.3333333333333335
"lastly but not least , their brownie desert was ... meh .",the place was a good name for used car people,2,2,1,1.6666666666666667
"who knows , it might have been .",portions are very small and food is not flavorful .,1,4,1,2.0
that person didnt get their meal until everyone else was finished with their meal .,bartender gave me a watered down martini,1,1,3,1.6666666666666667
they have the big massage chairs and each manicure station is fairly clean .,"um ... we just told him , sure we 'd go ahead and finance !",1,4,4,3.0
very busy but very good service .,the bad news that my vision had deteriorated made the visit even worse .,1,1,1,1.0
the art in the alley behind it is cool too !,"after eating at other gyro places , kings has the worst sauce",1,1,1,1.0
if you are looking to walk out transformed this is your place !,it is way under-priced ( compare to what they serve !,4,4,1,3.0
"also , the food that is there is n't great even by buffet standards .",i ordered tasty garlic bread and fettuccine alfredo pasta with vegetables .,5,3,2,3.3333333333333335
beautiful scenery and friend staff .,i almost forgot how great their offerings really are !,4,3,2,3.0
i ordered a cesar salad with a side of blackened chicken .,"overall the quality of the food , and the service was n't that good .",4,1,1,2.0
definitely disappointed that i could not use my birthday gift !,i 'm so sad and will definitely not go back for future services .,2,3,2,2.3333333333333335
it will stay with you all day .,i bet they have a fountain machine on site !,1,2,4,2.3333333333333335
<UNK> 's failed on every occasion .,is was horribly cooked and bland,1,1,1,1.0
"when i was finally there , i was very disappointed .",service was quick and swift,2,5,3,3.3333333333333335
this piece of shit gave me wonton crackers for my soup .,"we were seated quick as soon as we got there , then we glady chose colors .",1,5,1,2.3333333333333335
the staff was nowhere to be found .,"it was so funny , i asked her if she was joking ?",2,1,1,1.3333333333333333
it was over fried and very hard .,no need to call before you go .,5,1,5,3.6666666666666665
great lunch specials and awesome staff .,the tzatziki sauce had the right amount of dill,1,2,1,1.3333333333333333
they also are the best price in the area .,dr hall was not kind nor gentle,4,1,1,2.0
she was absolutely fantastic and i love what she did !,had dinner here last night and it sucked,5,1,1,2.3333333333333335
"i do not like to be screwed over , or short changed .",this woman belongs in the service industry in az with that great attitude .,1,1,1,1.0
i have had a great experience every time from start to finish .,"the place still is n't good , even when you can sit outside .",1,5,1,2.3333333333333335
russ was a well qualified tech .,"other than that , i really do n't know what was bad about it .",3,2,1,2.0
just do n't bother ordering anything if you 're seated .,this pharmacy is really considerate .,4,1,4,3.0
"great quality , great service .",i will go back to the salon,3,3,2,2.6666666666666665
this golf club is one of the best in my opinion .,i signed up for their email and got spam .,2,3,1,2.0
very friendly staff and manager .,i had to wait an hour to be served,1,3,1,1.6666666666666667
and every experience has been a positive one .,"this place has great customer service , but okay food .",3,3,4,3.3333333333333335
i spent time with my best buds and enjoyed some excellent wine and food .,services were fast and we tried to help everyone equally fast,4,2,1,2.3333333333333335
fun place to go drink beer .,this little pizza and salad place is disgusting,1,3,2,2.0
the octopus sashimi is my favorite !,and the seafood enchiladas were horrible !,3,3,4,3.3333333333333335
it 's a big bowl of sweet happiness .,no one was helpful nor friendly there,1,1,3,1.6666666666666667
i love that this is the place in the comic - family circus .,you can judge people based on their character .,4,1,1,2.0
the chips and guacamole were excellent too !,i may just post pictures to prove their high quality work .,1,3,2,2.0
this place is super yummy !,the asada steak was barely cooked and raw,1,2,4,2.3333333333333335
the pizza is offered without toppings and it 's lacking in flavor .,i would never put it in the trash .,1,3,2,2.0
enjoy taking my family here always the freshest sea food .,no new items have been added over a long time,2,1,1,1.3333333333333333
the espresso was way too hot .,this adds the final straw to a disappointing place .,1,4,4,3.0
the food all looked great .,the green chile chimis were too cold,2,4,3,3.0
great prices and the associates there are all very customer friendly and helpful !,"the place was too packed , we did not enjoy it",1,2,4,2.3333333333333335
food is always amazing no matter what i order .,so far i 'm really impressed .,3,2,1,2.0
produce is very reasonably priced and great selection of organic produce .,came here to get breakfast and that was the worst decision yet .,3,1,1,1.6666666666666667
the dipping sauce was too sweet too .,i 'm still craving my awesome drunken noodles !,3,2,2,2.3333333333333335
"if your patio is south facing , you 're out of luck .",was very happy with what arrived .,1,1,1,1.0
the burgers were over cooked to the point the meat was crunchy .,there was a friendly server with a great personality,1,3,4,2.6666666666666665
it was a great experience !,the food is great but the employees werent moving fast enough,2,5,3,3.3333333333333335
beautiful decoration and great service .,they should have zero starts,2,1,2,1.6666666666666667
decent selection of meats and cheeses .,"too many single people , not a place for your family",1,1,1,1.0
no massage with my manicure or pedicure .,"the breakfast was cold , did not enjoy it",1,5,3,3.0
"pathetic place , worst food .",i asked for thai hot and received plenty of spice .,4,1,3,2.6666666666666665
they make a bad name for used car dealers .,she was pretty good with the estimated time for a table .,3,4,1,2.6666666666666665
