text_1,text_2,label_1,label_2,label_3,avg_score
"i ' m not familiar with rap , but i believe it may be from front minor , or something similar .","yeah , it ' s from for nt minor , or something like that , i don ' t listen to rap , so it ' s just a guess",4,4,1,3.0
"if you are tired of spend ing time with her , then you and i should consider dating again .",and i u r sick of her then get back at me !!,4,4,3,3.6666666666666665
great question of the type i enjoy .,"nice question , that ' s what i like .",4,4,5,4.333333333333333
my best friend is more valuable than having money .,my best friend is worth more than money,5,3,5,4.333333333333333
good luck . you will need a lot of money .,"better have lot ' s of money , good luck",5,5,5,5.0
"hello girl , just be brave and do not worry .",hey girl just be brave dont worry about anything !!!,4,3,3,3.3333333333333335
marriage can be very expensive .,marriage can cost a lot of money !!!!!,4,5,5,4.666666666666667
my favorite all time song is ' i wanna grow old with you ' .,my favourite song is ' i wanna grow old with you ' .,4,5,4,4.333333333333333
"i am not a fan of country music , and i try not to listen to it .",there is no such thing because all country music is garbage and not worth listening to at all .,5,4,4,4.333333333333333
he has been trying to get me to date him again .,seeing he has been trying to get me to date him again ???,4,4,4,4.0
"if she does not , you may want to tell her .",you might want to tell her if she doesn ' t .,5,5,5,5.0
the age of nu m is challenging for many .,being nu m is a hard time .,5,4,1,3.3333333333333335
i don ' t think i will ever be able to get over him .,i still love him and i don ' t know if i will ever get over him .,4,3,1,2.6666666666666665
""" ja co b ' s  ladder "" may be the name of the song .",ja co bs  ladder may be the name of the song,5,5,5,5.0
you have to be specific .,ya know you got to be specific,5,3,5,4.333333333333333
i still laugh my but t off !,i still laugh my but t off !,4,5,5,4.666666666666667
"this contain s human traffic king as a theme , belong s to the crime , drama and television genres , and you ought to purchase it immediately .","- human traffic king ( c ri me , drama , tv ) buy now !",5,4,5,4.666666666666667
"wow , i thought i was a big star wars fan !",don . t know but wa w and i thought that i was a big fan of star wars !,4,5,4,4.333333333333333
"i watched "" gr ease "" the movie because i was too lazy to read the book .",gr ease ( movie ) books ( so lazy to read books ),4,3,5,4.0
could i please have the lyrics to this song ?,can i have the lyrics to this song ?,5,2,5,4.0
but i would do this :,but here ' s what i would do ...,4,4,4,4.0
"she is not smart , cannot sing , cannot act , and i do not like her .","she s so dumb , cant sing , cant act , and is just ... a hhhh !",3,4,2,3.0
being single has its per ks .,sometimes being single is more fun .,4,5,4,4.333333333333333
i ' m not certain if netflix . com is free or not .,actually i ' m not sur if netflix . com is free or not,5,3,3,3.6666666666666665
i can not help the way i feel .,but i can ' t help the way i feel .,4,3,5,4.0
it was from her friend and it was a mistake .,and from her friend it was a mistake !,4,4,2,3.3333333333333335
that song is more popular than our album .,i swear that song is more popular ( and more sung ) than our an the m .,2,2,1,1.6666666666666667
"it is either their appearance , social standing , wealth , etc .","its either their looks , so cial standing , m oney , s t uff like that .",3,5,2,3.3333333333333335
you should enjoy kissing and holding hands at this point .,"for now , just have fun kissing and holding hands .",5,4,3,4.0
it would not hurt to eat your whe a ties .,( it wouldn ' t hurt to eat your whe a ties ),3,5,2,3.3333333333333335
trying getting a haircut or wearing new clothes .,get a haircut or new clothes .,3,5,5,4.333333333333333
"if an individual wants to cheat , let them do so .",if someone want to cheat let them .,5,3,3,3.6666666666666665
i would like to state that i have never believed a share c ro pper ' s son !,i just have to say that i never believe a share c ro pper ' s son !!!,5,3,4,4.0
i rather prefer nicole and song beep .,i like nicole and the song beep cause it ' s diffrent !!,4,5,1,3.3333333333333335
""" i guess that leaves more french toast for me ."" he said .","well , i guess that leaves more fuck in ’ french toast for me , he says .",4,5,5,4.666666666666667
if you get a chance you should see it,if you can - go see it !!!,5,5,4,4.666666666666667
walk er couldn ' t have been any chee s ier .,and walk er couldn ' t have been a chee s ier show .,3,3,2,2.6666666666666665
i will look into if she is any good .,but will have to look into it if she is any good !,3,5,5,4.333333333333333
"no , it ' s a remake of a classic tale . in the tale , the mom got shot .",no it is a remake of a cl as ic tale and in the tale the mom got shot,5,5,5,5.0
i was told that it was in april .,i heard it was in april .,4,3,4,3.6666666666666665
"if i had and answer to that , i could save the world .",if i had that answer i could save the world,4,5,5,4.666666666666667
consuming liquid s can make someone have to use the restroom .,liquid s make guys have to pee .,5,2,4,3.6666666666666665
he always hits or eg on before you .,he always makes it to or eg on before you .,4,4,5,4.333333333333333
being attracted to only one sex is better than being attracted to both sex es .,if your bi try to go straight .,5,3,1,3.0
"all right , on the condition that you do not request any personal information or stalk me .","okay , only if you don ' t ask for any personal information / s talk me .",2,5,5,4.0
focus on things that make you happy .,focus on other things in your life that make you happy .,5,4,5,4.666666666666667
"even though she is fake , n y seems to like him .","plus , even though she is mad fake , n y actually seems to like him .",2,5,5,4.0
"the best bands are : the stroke s , b jo rk , and le ti g re .","! the stroke s , b jo rk , and le ti g re are the best",5,4,5,4.666666666666667
i like that pro stitution is illegal in most area s .,it is like pro stitution and illegal in most area s,5,5,5,5.0
i do not know if you are typing .,i dont know if you ' re ty p in .,4,5,5,4.666666666666667
i will come back if i remember what it was .,if i think of it i will come back .,5,5,5,5.0
"it is not going to hurt anyone right now , but later it may be a problem .",its not gonna hurt anyone right now . . later it may b a prob !,5,4,2,3.6666666666666665
i can see you are doing well with your relationship . i would appreciate some tips !,as i can see you doing good with him so give me some tips !,5,4,4,4.333333333333333
start a band and ar range some performance s .,start a band and get some gig s,3,3,3,3.0
"if you are able to do it , then it would seem demo cra cy has been victorious",if u could then demo cra cy has won,5,5,3,4.333333333333333
we only live once and should make the most of it .,"everybody only live once , u make da best of your life , cause it only comes one time around .",3,5,4,4.0
it is not good to get tan gle d up with people who do not trust me .,if not good dont get mixed up with those ones trust me .,4,2,4,3.3333333333333335
"she asked out someone else in december , after she broke up with me .",then in december she broke up wid me cuz she started lik in another guy .,4,3,3,3.3333333333333335
it sounds like my sister and her current husband .,this sounds like my sister and her now husband .,4,5,5,4.666666666666667
some men are sexier without hair .,some men are sexier without hair .,5,2,5,4.0
you should try a little trick that i heard about on the radio .,try a little trick i heard on the radio .,4,2,4,3.3333333333333335
"sit down on the couch , and watch it with him .",sit down and watch it with him .,2,4,5,3.6666666666666665
"candy girl - new edition , candy rain - soul for real , cute .","candy girl - new edition , candy rain - soul nu m real . . c ute",4,5,3,4.0
"if you can wait a little longer , i think everything will work out in the end .",just wi at it will all come out all right,3,3,3,3.0
is pro pos ing when you ask to marry someone ? and does spouse mean husband or wife ?,wait a min ue t isnt pro pos ing like asking to marry and doesnt spouse mean husband or wife ?,3,3,3,3.0
"i ' m afraid i ' m unable to , the woman indicate d is nearly fla w less .",i can ' t she ' s next to perfect,3,3,4,3.3333333333333335
"do not be too cocky , because it will likely end in a bad result .",what ever you do dont be to cocky because it will slap you in the face .,5,3,5,4.333333333333333
"if he lets them know that you two are in a relationship , keep him in your life ; if he leads them on , end the relationship .","if he tells them he is involved with you , keep him , if he plays them on , dump him",1,5,3,3.0
"everybody wants to know , but nobody truly knows .",everybody wants to know this but nobody knows really !!!,5,4,5,4.666666666666667
i will give them the message for you .,i ' ll give ' em the message for ya ;-),5,5,5,5.0
"none of those were worth staying with , but if i answer honestly , the answer is that i do .","none of them were worth staying with ... but i guess my answer is , i do .",4,5,2,3.6666666666666665
i believe it depends on the person .,i think it just all depends on the person .,4,4,5,4.333333333333333
"second , i can relate to how difficult your situation is since i am also single . be patient !","second , i know its hard ( cause i ' m single too ) be patient !!!",4,3,5,4.0
i have spill ed my tea on the front of my shirt .,i spill ed my tea all over the front of my shirt !,5,5,5,5.0
"no , the most important thing in a person , is how he treats me .","no , nu m me da most important thing in a guy is how he treats me .",5,4,2,3.6666666666666665
i am aware of heterosexual people who have also had them .,and i know all of st nu m people who have had them too .,2,3,4,3.0
i do not even listen to that very often !,but i don ' t even listen to that very much !!!,5,5,5,5.0
you should try to keep things open between your family and your boyfriend .,try to keep things open between your family and your guy .,5,5,1,3.6666666666666665
my ex display ed the same behavior which result ed in our breakup .,my ex did - then again that s why she is my ex now .,3,3,5,3.6666666666666665
ask him what kind of things he enjoys doing and pick something together that you both would enjoy .,well ask him what he would like to do ... pick somthing together that both of you would enjoy .,5,4,5,4.666666666666667
men and women differ in the way they think and feel .,men and women are different in thinking and feeling .,5,5,5,5.0
"try the website , it ' s advertise d on every show .","go to the website , they advertise it on every show",4,5,4,4.333333333333333
i do not understand the date on www . ch art at t ack . com .,www . ch art at t ack . com what is with this date ?,3,2,4,3.0
my celebrity crush is a ar on car ter,my celebrity crush is a ar on car ter,2,5,3,3.3333333333333335
we do not always use our mind to think .,we don ' t always do our thinking with our brains .,5,4,1,3.3333333333333335
"hey , gal . i like your avatar ' s cho ide of hat s .","hey , girl , i like your avatar ' s choice of hat s .",5,4,3,4.0
mandisa was voted off of the show because of her size .,mandisa was voted off because of her size,3,5,4,4.0
"oh yes , i forgot , my mistake .",o yeah i forgot my bad .,3,4,4,3.6666666666666665
"when kissing , breath e hard and bite their lip gently .",when kissing breath hard and bit there lip gently,5,4,3,4.0
you can find a lan is merchandise on amazon . com or ebay .,try amazon . com or try ebay .... i love a lan is !,3,4,3,3.3333333333333335
"one occasion , we were in the garage playing poker and drinking .",one time we were hanging out in the garage playing poker and drinking .,5,4,2,3.6666666666666665
attempt to use limewire . com as i was able to locate songs i find appealing in the classic country genre .,try limewire . com i found some older country songs i like on there ....,4,5,5,4.666666666666667
"the ja p an s ese are not mean . they are great - very polite and kind , just a bit scared of foreign ers .","and the japanese aren ' t mean , they ' re great , so polite and kind , just a bit scared of foreign ers !",5,5,5,5.0
it is not right to force someone to do something they are not comfortable with .,i would never force or drag someone to do some think their not comfortable with its just not right !!,3,3,5,3.6666666666666665
if fun d s are tight and you ' re staying home it is inexpensive entertainment .,( nu m ) it ' s cheap entertainment if you can ' t afford to go out .,4,2,5,3.6666666666666665
love is the ability to read exc er p t s like this one and then finally understanding the meaning of the material .,love ... is being able to read stuff like this and then ... f in ally ... tru ly understand its meaning .,5,5,5,5.0
"because i am a man , the least ugly face was george ' s .","since i ' m a guy , the least ugly mu g was george ' s .",4,4,3,3.6666666666666665
"i haven ' t tried them , but you seem to have a problem with gay or bisexual people .",haven ' t try ed them . ..:) ) but you seem to have a problem with gay or bi people : p :),2,5,3,3.3333333333333335
you tell her . i heard that !,you tell her ... i heard dat,2,4,5,3.6666666666666665
it certainly seems as though he is capable of conv in cing any woman to go on a date with him .,looks like he can get any woman he wants .,2,1,5,2.6666666666666665
it works like a regular credit card .,the same way a regular credit card,4,5,3,4.0
i am certain they got married for reasons that were not appropriate .,i think they got mari ed for all the wrong re as os,4,3,2,3.0
it is possible that the feelings are not the same .,! maybe you dont e el the same way he feels for you ask yourself,2,1,4,2.3333333333333335
maybe you could try speaking about common interests or ho b bie s ; how about sports ?,try talking about sports or something .,4,2,4,3.3333333333333335
the original featur ing peter sell ers actually reference s the pink pan ther diamond .,"the original w / peter sell ers , because it actually deal t w / the pink pan ther diamond !",4,1,3,2.6666666666666665
i find them both attractive .,i think they are both hot,4,3,3,3.3333333333333335
why are men obsessed with breasts ?,what is it with guys and breasts ?,3,5,4,4.0
"the song "" s t ay with you "" by the go o go o dolls has been stuck in my head all week .",go o go o dolls - stay with you has been stuck in my head all week !,5,4,4,4.333333333333333
"there is nothing else , except to try and explain the rest a little better for all of us .","other than that , try to explain the rest a little better for all of us",3,2,4,3.0
when i ' m driving all over the country . i listen to x m radio .,i drive all over the n ation and li s sion to x m radio .,5,3,2,3.3333333333333335
because they think we care about it !,a : because they think we care !,3,4,3,3.3333333333333335
you should stop guessing because it ' s disrespectful !,"u should really stop guessing , it ' s disrespectful !",5,5,5,5.0
"i believe the song is by master p , though i can ' t remember the exact name of the song .","its by master p though , but i cant remember the song name",2,5,3,3.3333333333333335
please let me know if he does the pizza santa bit again .,let me know if he does the pizza pussy santa bit .,5,4,3,4.0
he is mostly likely a player that is not worth your time .,he is probably a player and not worth ur time anyway .,5,5,3,4.333333333333333
"did you mean , "" who stole the video ?""",did you mean who stole the video ?,5,5,5,5.0
i hope this helps you out .,"well blah blah blah , i hope this helps you out .",4,4,4,4.0
"you can have sex , but should you have sex ?",you can have sex but should you ?????,5,4,4,4.333333333333333
she stole a mo t or vehicle .,( she also took the gas station attend ent ' s car ),3,1,4,2.6666666666666665
one possibility would be johnny so ck o and his flying robot s .,was it johnny so ck o and his flying robot s ?,4,3,5,4.0
that is the best thing you can do for him right now .,that s the best thing you can do for him right now .,5,5,4,4.666666666666667
are you intelligent ? are you attractive ?,r u smart ? r u pretty looking ??,4,3,4,3.6666666666666665
they ' re both full of it .,they are both full of crap,5,3,5,4.333333333333333
"no , i won ' t see it . it ' s a queer movie .",wont see it ... its a fag movie .... ee ew www,2,4,3,3.0
then follow those people where ver they go .,then go where these people go .,5,5,5,5.0
i do not understand why there is such a com mo tion .,i dont see what the big deal is .,4,5,3,4.0
you don ' t like to complain because you prefer to fix problems .,of course you don ' t like to complain ... you are the fix er of problems .,5,5,5,5.0
i am not sure if this is what you are looking for .,not sure if this is what you were looking for or not .,4,5,5,4.666666666666667
you ' ll find anything you ' ll need there .,you ll find everything you need there,5,5,5,5.0
one who tend s to cheat usually cheats again .,"once a cheater , always a cheater .",3,2,2,2.3333333333333335
"i say yes , so are you still looking for someone special to marry ?",i say yes now are you still looking for someone special to marry ?,5,5,3,4.333333333333333
"you should be honest , because honesty is very important .","you should be honest , honesty is very important .",5,3,5,4.333333333333333
