text_1,text_2,label_1,label_2,label_3,avg_score
you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,still think it s better to stick with the benefits than winning n um  . n um million,4,3,2,3.0
at least he ' s self aware,being al ert about it cause s a genuine appearance,2,4,2,2.6666666666666665
that s mess ed up she did that in front of u,that is very insensitive of her to do such things in your presence .,1,5,5,3.6666666666666665
there are n um  : young frank en s te in rais ing a ri zon a love and death,"there ' s three of  ; em : young frank en s te in , love and death , rais ing a ri zon a .",3,3,3,3.0
how do you get a blond to kill herself ?,how do u get a blond to commit suicide ?,4,5,5,4.666666666666667
that ' s the best joke i ' ve ever heard .,"ugh , i ' ve never heard such a tired old excuse for a joke",1,5,1,2.3333333333333335
then u can make an easier decision .,"that happens , your decision will be easier .",2,5,4,3.6666666666666665
i got a great idea you can move to new  z eal and .,"let me guess , you ' ll relocate to new  z eal and ?",5,5,1,3.6666666666666665
guy : im a caveman girl : what s this ?,dude : i ' m a caveman girl : what ' s this ?,3,5,4,4.0
carrie under wood - don ' t forget to remember me,the song don ' t forget to remember is one of car y under wood ' s .,1,5,3,3.0
"why do the women their have hair on their face s , y uck ! !",why do some g als have hair on their face s ?,2,4,3,3.0
men are dumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! who the hell know what they re thinking when then do what they do,men are dumb - no one understands why they act the way they do !,5,5,4,4.666666666666667
that song is go nna be our class one .,here is our class song .,4,3,3,3.3333333333333335
this song is my  jam ! !,i freak in dig this song !,2,1,4,2.3333333333333335
your girlfriend should just accept that if she loves you,"if she lu v s u ,  ur g f should chill with her sh ade",1,2,2,1.6666666666666667
the chase is over once they are interested .,once they know they have u the chase is done and it s not fun,3,3,5,3.6666666666666665
others like to do as society says but i think we should re bel and love thick girls !,"others like to follow the her d , but i like myself thick girls",4,5,4,4.333333333333333
i have no idea where to begin ! ! !,where should i even start here .,4,3,2,3.0
well if you w anna meet some hot mama c it as i would go to the library or maybe w almart .,if you want to meet a women try the library or w almart,3,5,3,3.6666666666666665
y ur never happy with what you ve got,u need to stop want ing more,3,2,1,2.0
because for her  taking it out when times are tough and it ' s difficult,she should get cred it for not giving up even when she is mad .,2,2,1,1.6666666666666667
and last but not least - -- does he always just happen to be staring . . . ?,"he ' s always popp in his  eys , w hy ?",1,3,3,2.3333333333333335
they are good en u f to tour !,there going on tour so i guess there that good at least,5,3,3,3.6666666666666665
"but he is just too cute , plus he ' s old , i ' ve just always liked old bald men .","i like that he ' s cute , old and not hi rs ut e .",1,1,1,1.0
all girls think different  bout things i can see that,i am  able to tell that all of you girls think differently .,1,5,2,2.6666666666666665
i ' ll pick one of my favorite country ones . . .,i ' ma pick n um of my country fav es,2,5,4,3.6666666666666665
oh y a add suicid al tendencies to that list too .,"yes , add the band suicid al tendencies to that list as well .",5,3,5,4.333333333333333
if it doesn t mean anything then y is she go in out w / another g ur l  ?,"if it ' s unimportant , then why is she dating another woman ?",5,5,2,4.0
i ' ll give you three pe nnie s for that .,i will give you three cents for that .,2,5,5,4.0
"hands down s ah id , oh that man is so o sexy .","he ' s it s ah id , sexy mother f uck er !",3,1,3,2.3333333333333335
"really , is it that important ?",does it really make a diff f er ne ce,2,1,4,2.3333333333333335
is put ting a a d in the local paper something we can do ?,can w e put an a d or notice in the newspaper  ?,2,5,3,3.3333333333333335
"if he were just ok man , would we know who he was ?","if he was average , no one would know him",3,4,5,4.0
but it might be interesting to watch sometime . . lo l,"but it could be ok to watch some time  , just not now .",4,2,3,3.0
once you pass it it ' s hard to get again,"once you pass , you a in ' t get ting it again .",5,3,2,3.3333333333333335
"if it s truly love it s not scary , and if your scared it it s not love . you have nt met the right guy n um u , w ug l","love is n ' t scary at all . if you ' re scared , you are n ' t in love . the right guy will come along . good luck .",3,3,5,3.6666666666666665
it s a whole bu nch a math sh it  * lo l * n um and n um  / n um x n um  . n um  = n um  . n um,so take n um  . n um bricks and times that by n um  . n um it comes to n um  . n um,3,2,2,2.3333333333333335
i personal y think it is stupid . . . . i also hate star war s x d,i don ' t think it s a good movie . . i don ' t like star war s either,4,5,4,4.333333333333333
why their more exciting sports are the ones with a lot of contact ?,why is it that the more exciting sports have the most contact .,3,5,4,4.0
a tomboy does not a lesbian make .,lesbian s are n ' t always tomboy ish .,4,5,3,4.0
"in any case , their personality needs to be something i can to l erate .",well a to l er able personality then ?,4,4,2,3.3333333333333335
he keep s going on about how mad he was cu z he did n ' t see it coming .,he still is talking about how mad he got and how he never expected it .,3,5,3,3.6666666666666665
u don t know how old he is ? ? ? ?,you are unaware of his true age ?,1,5,2,2.6666666666666665
be cool and ask her on a date !,just go ask her if she wants to go on a date with you .,4,1,4,3.0
mix in some commonly known songs too .,mix in some hits too,4,4,1,3.0
she to ok on a rmed guards at a palace in t urke y !,in t urke y she battle d some a rmed guards at a palace .,3,3,1,2.3333333333333335
green day is the best i think,"green day is the best , hands down",4,5,5,4.666666666666667
that ' s really helpful even if it s not really necessary,"it is n ' t necessary , but it is incredibl y helpful .",5,2,2,3.0
"don ' t  poke at him , he ' ll let you know when he ' s ready",don ' t push . let him open up when he wants to,5,2,1,2.6666666666666665
i can tell she ' s hooked on pain me d s .,thought she was all er g ic to pain medicine ?,3,3,4,3.3333333333333335
here ' s my advice . trust her .,"trust her , that my advise .",5,5,4,4.666666666666667
it was for the reunion show . . . show was cancelled,it was for the reunion show that got cancelled,3,5,4,4.0
"and i have the answer , my music that i sing in the shower .","and i know the answer is , "" m us ic that i sing in the shower "".",3,3,4,3.3333333333333335
s no op y come home was the best ! !,i loved s no op y come home .,5,2,3,3.3333333333333335
"keep that , you may find he is a really cool guy and want to stay friends",i ' d stay friends he seems cool,5,5,2,4.0
or ask about the score of last game ?,what was the score of the last game,5,2,4,3.6666666666666665
well i hope you read this really well .,hope fully you ' ll re view this thoroughly .,4,3,3,3.3333333333333335
that bu ll sh it . . . ma y be u just got some issues with a sian women . . .,that ' s f uck ing stupid . i think you just have problems with a sian s women .,3,5,5,4.333333333333333
especially if u are looking to get married and set tle down .,"you have to do it , if you want to get married and have kids !",5,3,5,4.333333333333333
"yeah , i used to listen to them all the time like n um years ago .",i used to listen to them like n um years ago .,5,5,5,5.0
"i ' m a leg it fan of the song called crash , definite l","personally , i like the song crash .",2,2,1,1.6666666666666667
sorry i don ' t feel that way .,"i have never felt that , so z",4,3,4,3.6666666666666665
using blow - up dolls in videos and pretending to have sex ... . . !,the videos show ed them using blow up dolls !,2,2,4,2.6666666666666665
what in the hell should i say ? ?,what should i say ?,3,4,3,3.3333333333333335
someone i can be myself with .,someone i can just be me with,3,4,5,4.0
"practice unwrap ing s tarburst s with your tongue , women love it !",you should practice unwrap ping s tarburst s with your tongue . chick dig it .,2,5,4,3.6666666666666665
the guy from the movie hell boy .,you know that guy from hell boy,4,5,4,4.333333333333333
"what are you talking about , you don ' t know women ?",what are you trying to say because you don ' t know anything about women .,3,3,3,3.0
"t ank top or halter top and jeans , perhaps ?","what do you think , t ank top , or , halter top and jeans ?",5,5,5,5.0
try wearing some ting sub t el and also soft,try to wear something sweet and innocent,1,3,2,2.0
it be e id a ' some coffin o ' some ' h aid st one .,a coffin or a headstone,5,4,1,3.3333333333333335
n where can i get a platform to start with ? ! !,where can i g rap a platform n um start wit  ? ?,5,4,3,4.0
it is to tally a chick show .,chick flick for sure,4,3,4,3.6666666666666665
i want to know if your lonely .,if you are lonely you can talk to me .,3,1,2,2.0
let her know you need intimacy every now and then,easy just tell her u need a hug now and then,3,4,1,2.6666666666666665
om g bill ie  jo e from green day is the best ! ! !,"green day is awesome , bill ie  jo e is my favorite !",5,3,2,3.3333333333333335
well there may b some reason n um such a kind of be ha vi our  .,they are probably acting out for a reason .,5,4,3,4.0
"i love true love ways . u know , that song ?",true love ways is a great song,2,1,5,2.6666666666666665
ask her if it ' s okay if you are n ' t sure .,"if in doubt , ask her permission .",2,2,5,3.0
we could n ’ t think of anything better to do .,we could n ' t think of a better thing to do,5,3,4,4.0
in the h arry po tter movies the role of  ron we as ly is played by r u pert gr int,ron we as ly is played by r u pert gr int in all the h arry po tter movies,4,5,4,4.333333333333333
"you can ' t fix what ' s going on w / her parents , but maybe what ' s going on with friends ? why ?",you can ' t fix the relationship w / her parents but maybe ask her about helping with the relationship with her friends ?,5,5,2,4.0
i say around n um or n um,i ' d guess maybe around n um or n um or so,4,4,1,3.0
once they ( both money and time ) are spent never comes again .,"once money and time are gone , you never get it back",1,5,2,2.6666666666666665
"girl , more dude s in the world like fat chick s than you think","there are way more men into bigge r women than you think , lady .",4,3,3,3.3333333333333335
j on  & i used to be really close  & talk all the time about anything  & everything .,j on and i used to talk all the time and we were super close .,3,5,4,4.0
it ' s really hard to pick only one .,only pick ing one is so hard !,1,2,1,1.3333333333333333
tell your parents u love them and move on .,let your fo lk s know you love ' em and keep on living !,1,5,5,3.6666666666666665
far enough to be away from family but close enough so they can visit maybe once a month ?,maybe find somewhere that s far enough from home but close enough that your family can visit like once a month,5,5,5,5.0
for me that s exactly what i ' m looking for . if i were looking .,"that ' s what i would want , if i were looking .",2,4,5,3.6666666666666665
invite him for a dinner or movie !,ask him out to dinner or maybe a movie .,5,5,4,4.666666666666667
"however , i derive pleasure from heavy petting , in cluding even a small amount of str oking .","though , i like some heavy petting , even a little bit of str oking it .",3,2,4,3.0
"he don ' t deserve her i mo , so she needs to stay single","i mo , they should n ' t get hit ched , because she is way too good for him .",5,3,5,4.333333333333333
"and bow wow cu z they are young , talented and fine ! ! ! ! !",they ' re good at what they do and young,3,5,4,4.0
"don ' t let no man find out , they be hat in '","o oh , also were men aware of your comment , you ' d be severely un popular , for your  ed ification .",1,2,2,1.6666666666666667
they re way different man .,"they do not , however , look sufficient ly alike .",5,3,2,3.3333333333333335
just open it and ask,maybe open it and then ask her .,1,4,3,2.6666666666666665
over time should i give him another chance ?,should i give him another chance ?,4,4,4,4.0
actually i am from in dia so i like in d ian idol,"i am from in dia , so i tend to enjoy in d ian idol .",3,3,5,3.6666666666666665
but defin ate ly force her because no bra is very unattractive .,make her do it because not wearing a bra is unattractive .,4,4,5,4.333333333333333
stand strong and let it go .,"hold your ground , let it go .",5,4,2,3.6666666666666665
even if a guy is over n um that can still be hot and chill .,"guys can be attractive , cool , and weigh over two hundred and fifty pounds .",2,1,2,1.6666666666666667
that is a lie if you really love the person your relationship will stay strong no matter what,that ' s a lie because if you are really in love then it doesn ' t matter what happens .,2,1,5,2.6666666666666665
"n um st of all you can ' t help what you dream about , and n um  nd fantasiz ing is just that , a fantasy .","u can ' t help grea m ing , fr ant is i zing , it ' s only that .",2,2,2,2.0
yo i just got a  mp n um and am looking for good  ( free or pay ) sites to download music from .,where can i d l tunes from after get ting an  mp n um  ?,1,3,4,2.6666666666666665
"i despise that type . remember that money can purchase many things but class , style and grace are not am ong them .","i hate that type , you can ' t buy class , style or grace ,",4,4,4,4.0
"icy blue , and u can see it ' s breath and it will have ic icles on it ' s nose",basically it ' s going to be blue with win ter face .,3,2,4,3.0
b co zz we always find a life partner the r for we attract with opposite side,opposite s attract and every po t has it s li d,2,4,4,3.3333333333333335
"he y ho , i did n ' t know that . cheer s !","wh a , i did n ' t know that so thanks .",3,2,3,2.6666666666666665
and i want to try again .,let me do it again .,4,2,4,3.3333333333333335
that corn ey b j ork  & cha ney joke has been told to me over and over .,yeah i heard the b j ork and cha ney joke .,2,2,3,2.3333333333333335
they both fri ck en suck cu z  ive never seen them,"i have n ' t ever saw them , but i don ' t like ' em .",5,2,4,3.6666666666666665
"go into child lock , hit left or right arrow  < - - > and then wait a bit","find ch ll d lock , then press the left or right arrow and hang tight .",4,3,3,3.3333333333333335
i hate hill ary the most too ! ! ! ugh ! ! !,i can t stand hi lary cli nto n either ! ! !,2,3,4,3.0
this culture gets it right !,that a culture that got it right,4,4,5,4.333333333333333
"you better give your man some space , they don ' t like feeling possess ed .","men like freedom , don ' t act like you own him .",1,3,4,2.6666666666666665
what do you do to make a blond kill herself ?,how do u get a blond to commit suicide ?,4,3,4,3.6666666666666665
i ' ve watched every one of those episodes .,i watched every episode ! ! !,5,3,5,4.333333333333333
no not really but if you do f = get pre gan at your baby can be still born or have birth de fects,"no not really , but your baby may be born deform ed or re t ard ed",4,5,3,4.0
i did n ' t think it was very good .,i did n ' t think it was good .,3,3,5,3.6666666666666665
just be yourself when you are with her .,just be yourself when you are together with her,5,5,3,4.333333333333333
if you don ' t like any of the guys that asked you out then just say no .,if you don ' t get asked out by someone you like don t go at all,5,4,3,4.0
cartoon network needs to show fu tu ra ma earlier ! !,i to tally wish cartoon network would show fu t ur ame earlier !,4,3,5,4.0
i have not seen it before but the actor ' s name is ha y a o mi y aza ki .,i ' ve never seen it but it ' s got some guy named ha y a o mi y aza ki .,2,4,5,3.6666666666666665
"if you play w / b oth at the same time , she will probably f - *# the sh %$ out of you !","if you have a three some , you ' ll probably get the rough sex you ' re looking for .",1,1,5,2.3333333333333335
i used to be a ho ot er girl and believe me the cow boy cheerleader s uniform is definitely hot ter .,"i work ed at ho ot ers and know this , cow boy cheerleader uniform s are sexier .",4,5,3,4.0
un less if you like being treated like po op .,"you treated like sh it , it a in ' t worth it",2,4,3,3.0
i think you re a good guy and she prob s loves you a lot !,im sure she loves u . you re a good dude,2,4,1,2.3333333333333335
i think it s a good thing . . . . to try the milk before you buy the cow ... . .,i think it is good to try a sample of something before you get the whole thing .,2,4,5,3.6666666666666665
and also the penis story as well . lo l,it is a sexual story as well .,1,3,4,2.6666666666666665
i love the one in which they think  jack is gay but it is a  misunderstanding because he is not gay . . . .,i am loving the one where they all think  jack is gay but it ’ s all a r use because he to tally is n ’ t .,3,3,3,3.0
i was reading some of my old copies today  : - ),i was s k imm ing some of my old copies earlier .,4,1,5,3.3333333333333335
you can stop trying to control her life ?,stop trying to control her life .,4,4,5,4.333333333333333
if so please write me a lot !,let me know if the situation happens .,4,3,5,4.0
i don ' t like skinny super mo d el types .,i don ' t dig skinny ch ic s .,5,5,2,4.0
i told him how do you know i ' m looking at you  ? ? ? ?,i asked him how he knew that i was looking at you .,1,1,3,1.6666666666666667
we ' ve been talk in n um n um m n th s .,we ' ve been talking for like n um months or so .,2,2,4,2.6666666666666665
"if she asks me , i do not know the answer .","she should nt ask me , i have no idea .",1,3,4,2.6666666666666665
was it her personality that made you fall in love ?,did you fall in love with her personality ?,2,5,5,4.0
"wear a hot dress , make yourself really pretty , cook a great meal and then have hours of crazy sex .",wear that sexy outfit he likes make his favorite dis h and rock his world,3,4,5,4.0
first of all this is not the right age match the desires differ . . . so be careful,first of all the age differen ce is bad so proceed with caution .,5,4,5,4.666666666666667
you s nee k y bu gger . . i was just going to ask this question .,you are a sneak y guy . i was just go nna ask the same thing .,4,5,5,4.666666666666667
i only like so sick and that is played out .,i like their song ' so sick . ',4,5,4,4.333333333333333
don t listen to what men say watch how they act .,"yo ! do not even la h s ten ta what a y person says , watch da way dat day act .",3,4,3,3.3333333333333335
if he says sure h ye ' s not cheating .,he ’ s not cheat in if he says he is .,2,3,4,3.0
cha d mic ha el mu rry and or land o  blo om r fly,not sure who is hot ter . . . . . . o rland o  blo om or cha d m ur ray,3,1,4,2.6666666666666665
no one can control their dream .,you can ' t be in charge of what they dream .,1,4,4,3.0
put her in round room and tell her to sit in the corner !,take her to a c y lind rical room and have her sit in th a corner,5,3,2,3.3333333333333335
however i really do love her .,i lu v her .,4,5,3,4.0
"but i hope not , i have enough trouble with gays making google y eyes at me on earth .","i sure hope not , i already have a lot of issues with gays going after me .",4,5,3,4.0
the dude playing dr a cu la is hot t tt ! ! !,that person who plays a drink er in that movie is gross .,3,1,2,2.0
why would he go to jail ?,why ' d he get bu sted ?,5,4,4,4.333333333333333
when you feel it coming on then start the foreplay again,resu me foreplay if u r go nna c um,3,3,3,3.0
he s talking to some n um else so you a int go nna tell u .,he won ' t tell you but he talks to someone else .,3,2,5,3.3333333333333335
"trust him , don ' t bring it up again .",don t bring it up again and just trust him .,3,5,2,3.3333333333333335
so he got up and went to the kitchen .,he stood and walk ed to the kitchen .,5,5,5,5.0
"ka tie hol me s was a nice cat h on ic girl , now she s a sc ient o lo g it",ka tie hol me s went from a good cat holic girl to a mess ed up sc ient o lo g ist .,3,3,3,3.0
"what if you ' re interested in a lady , but not sure if she is in you ?",what should a person do who is interested in a woman who may or may not also be interested ?,2,2,3,2.3333333333333335
so there are some guys that only say the l word if they mean it .,some guys only say love if they mean it . . .,3,4,4,3.6666666666666665
... . . you tell her why you like her !,you got ta let her know what you like about her .,4,2,4,3.3333333333333335
trust me you can ' t change them !,you can ' t change them . . . trust me !,5,5,4,4.666666666666667
did nt know until know but he y her re ' s one for y a !,did did not know that untill now .,2,3,4,3.0
u sound like a very lovely person so don t let some of these g als drag you down .,"you sound like a great guy , don t let these women get you down",5,5,4,4.666666666666667
get to know her so you can ask her out soon .,you should be to know her and then one of you guys will ask the other out !,3,1,3,2.3333333333333335
he will love you so much more ...,he will care so much more about you .,2,3,5,3.3333333333333335
just be yourself,be normal dude,3,5,3,3.6666666666666665
should you really marry a guy who has been accuse d of two attempted murder s ?,why would you even want to marry someone on  trial for n um attempted murder s ?,5,3,4,4.0
"they were graves not holes , someone called his mother a so w","they were graves stupid and not holes , plus someone called his mother a mean word .",2,3,4,3.0
"from the sound of it , it ' s a little bit older and i think it has the word summer in it","it sounds kind a old , and it ' s got something about summer in it .",2,2,1,1.6666666666666667
i have seen the movie too !,i ' ve seen that film before too .,5,2,4,3.6666666666666665
you should not be bang ing your cousin .,you should not f uck your cousin .,5,3,2,3.3333333333333335
"but if they cannot exercise self - control , let them marry .",they should get married if they can ' t control themselves .,5,3,2,3.3333333333333335
is it just too weird and geeky !,it think it is way to bon ker s,4,4,3,3.6666666666666665
"rie - rie definitely deserve s the points on this one , good work !",rie - rie should have the cred it i think .,3,4,3,3.3333333333333335
"like mock in bird , i love that song ! !",mock ing bird is such a great song,5,3,4,4.0
