text_1,text_2,label_1,label_2,label_3,avg_score
"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And he sent Eliakim , who was over the house , and Shebna the scribe , and the chief priests , dressed in haircloth , to Isaiah the prophet , the son of Amoz .",2,3,4,3.0
"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","and Ibneiah son of Jeroham , and Elah son of Uzzi , son of Michri , and Meshullam son of Shephatiah , son of Reuel , son of Ibnijah .",5,4,5,4.666666666666667
"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","And the lord of that servant , being moved with pity , let him go , and made him free of the debt .",3,5,4,4.0
"The word of the Lord which came to Joel , the son of Pethuel .",The word of the Lord that came to Joel the son of Phatuel .,4,5,4,4.333333333333333
"Adam , Seth , Enosh ,","Adam , Seth , Enosh ,",5,5,5,5.0
"having become by so much better than the angels , as he hath inherited a more excellent name than they .","taking a place by so much better than the angels , as he inherits a name more excellent than they .",4,3,4,3.6666666666666665
"When therefore he was gone out , Jesus saith , Now is the Son of man glorified , and God is glorified in him ;","When therefore he was gone out Jesus says , Now is the Son of man glorified , and God is glorified in him .",3,5,4,4.0
And there was great weeping in all the country when all the people went through ; and the king himself was waiting in the Kidron valley and all the people went by him in the direction of the olive-tree on the edge of the waste land .,"And all the country wept with a loud voice , and all the people passed over ; the king also himself passed over the torrent Kidron , and all the people passed over , towards the way of the wilderness .",5,1,4,3.3333333333333335
"Jesus therefore went up into a mountain , and there he sat with his disciples .","and Jesus went up to the mount , and he was there sitting with his disciples ,",4,5,5,4.666666666666667
"For those of us who have belief come into his rest ; even as he has said , As I said in my oath when I was angry , They may not come into my rest : though the works were done from the time of the making of the world .","For we enter into the rest who have believed ; as he said , As I have sworn in my wrath , If they shall enter into my rest ; although the works had been completed from foundation of world .",4,3,3,3.3333333333333335
"And Job again took up his parable , and said ,","And Job continued his parable and said ,",3,4,4,3.6666666666666665
"Up ! and let the grain be crushed , O daughter of Zion , for I will make your horn iron and your feet brass , and a number of peoples will be broken by you , and you will give up their increase to the Lord and their wealth to the Lord of all the earth .","Arise , and tread , O daughter of Sion : for I will make thy horn iron , and thy hoofs I will make brass : and thou shalt beat in pieces many peoples , and shalt immolate the spoils of them to the Lord , and their strength to the Lord of the whole earth .",3,3,3,3.0
"By faith Enoch was translated that he should not see death ; and he was not found , because God translated him : for he hath had witness borne to him that before his translation he had been well-pleasing unto God :","By faith Enoch was translated that he should not see death ; and was not found , because God had translated him ; for before translation he has the testimony that he had pleased God .",5,3,4,4.0
"Truly , I will not come into my house , or go to my bed ,","`If I enter into the tent of my house , If I go up on the couch of my bed ,",2,5,3,3.3333333333333335
"When the child was grown , one day he went out to his father to the reapers .","And the lad groweth , and the day cometh that he goeth out unto his father , unto the reapers ,",2,4,3,3.0
"The garment also that the plague of leprosy is in , whether it be a woollen garment , or a linen garment ;",A woollen or linen garment that shall have the leprosy,4,3,4,3.6666666666666665
"For in the past we were foolish , hard in heart , turned from the true way , servants of evil desires and pleasures , living in bad feeling and envy , hated and hating one another .","For we were once ourselves also without intelligence , disobedient , wandering in error , serving various lusts and pleasures , living in malice and envy , hateful , hating one another .",3,4,4,3.6666666666666665
"and they beckoned unto their partners in the other boat , that they should come and help them . And they came , and filled both the boats , so that they began to sink .","and they beckoned to the partners , who in the other boat , having come , to help them ; and they came , and filled both the boats , so that they were sinking .",5,3,4,4.0
"Please go make yet more sure , and know and see his place where his haunt is , and who has seen him there ; for I have been told that he deals very crafty .","Go , I pray you , make yet more sure , and know and see his place where his track is , who has seen him there ; for it is told me that he deals very subtilly .",5,2,4,3.6666666666666665
"I saw in the night a man on a red horse , between the mountains in the valley , and at his back were horses , red , black , white , and of mixed colours .","I saw by night , and behold a man riding upon a red horse , and he stood among the myrtle trees , that were in the bottom : and behind him were horses , red , speckled , and white .",4,3,5,4.0
"Jesus answered them , `` Destroy this temple , and in three days I will raise it up . ''","And Jesus said to them , Send destruction on this Temple and I will put it up again in three days .",3,4,5,4.0
Give thought to what I say ; for the Lord will give you wisdom in all things .,"be considering what things I say , for the Lord give to thee understanding in all things .",3,3,2,2.6666666666666665
"I was eyes to the blind , And feet was I to the lame .","I was an eye to the blind , and a foot to the lame .",1,4,3,2.6666666666666665
"Who is this who comes up from the wilderness , leaning on her beloved ? Under the apple tree I aroused you . There your mother conceived you . There she was in labor and bore you .","Who is this that cometh up from the desert , flowing with delights , leaning upon her beloved ? Under the apple tree I raised thee up : there thy mother was corrupted , there she was defloured that bore thee .",3,2,5,3.3333333333333335
"And when ye shall hear of wars and tumults , be not terrified : for these things must needs come to pass first ; but the end is not immediately .","And when ye shall hear of wars and tumults , be not terrified , for these things must first take place , but the end is not immediately .",5,3,5,4.333333333333333
On the eighth day ye shall have a solemn assembly : no manner of servile work shall ye do .,"`On the eighth day a restraint ye have , ye do no servile work ;",4,3,3,3.3333333333333335
Wounds and dishonor shall he get ; And his reproach shall not be wiped away .,"A stroke and shame he doth find , And his reproach is not wiped away ,",3,5,2,3.3333333333333335
"then hear thou in the heavens , and do , and judge thy servants , condemning the wicked , to bring his way upon his own head ; and justifying the righteous , giving him according to his righteousness .","Then hear thou in heaven : and do , and judge thy servants , condemning the wicked , and bringing his way upon his own head , and justifying the just , and rewarding him according to his justice .",5,4,4,4.333333333333333
"And when Israel had sown , Madian and Amalec , and the rest of the eastern nations came up :","And it hath been , if Israel hath sowed , that Midian hath come up , and Amalek , and the sons of the east , yea , they have come up against him ,",3,4,3,3.3333333333333335
"He who does n't love me does n't keep my words . The word which you hear is n't mine , but the Father 's who sent me .","He that loves me not does not keep my words ; and the word which ye hear is not mine , but of the Father who has sent me .",5,2,5,4.0
"and for a sacrifice of peace-offering , two oxen , five rams , five he-goats , five yearling lambs . This was the offering of Elishama the son of Ammihud .","And for sacrifices of peace offerings , two oxen , five rams , five buck goats , five lambs of a year old . This was the offering of Elisama the son of Ammiud .",4,5,2,3.6666666666666665
"He laid his hands on her , and immediately she stood up straight , and glorified God .","and he laid on her hands , and presently she was set upright , and was glorifying God .",3,2,3,2.6666666666666665
"And when he had put it to rest , he said to his sons , When I am dead , then you are to put my body into the earth with the body of this man of God , and put me by his bones so that my bones may be kept safe with his bones .","And when they had mourned over him , he said to his sons : When I am dead , bury me in the sepulchre wherein the man of God is buried : lay my bones beside his bones .",5,5,3,4.333333333333333
"all the kingdom of Og in Bashan , who reigned in Ashtaroth and in Edrei ( the same was left of the remnant of the Rephaim ) ; for these did Moses smite , and drove them out .","all the kingdom of Og in Bashan , who reigned in Ashtaroth and in Edrei ( the same was left of the remnant of the Rephaim ) ; for Moses attacked these , and drove them out .",5,4,3,4.0
"For I was tricked and put to death by sin , which took its chance through the law .","for sin , getting a point of attack by the commandment , deceived me , and by it slew .",5,3,2,3.3333333333333335
"And now , if indeed I have found grace in thine eyes , make me now to know thy way , that I may know thee , that I may find grace in thine eyes ; and consider that this nation is thy people !","`And now , if , I pray Thee , I have found grace in Thine eyes , cause me to know , I pray Thee , Thy way , and I know Thee , so that I find grace in Thine eyes , and consider that this nation Thy people ; '",4,5,4,4.333333333333333
