text_1,text_2,label_1,label_2,label_3,avg_score
take measures in order to,take additional measures to,4,5,3,4.0
was seeking to,will strive to,3,4,2,3.0
canada aims to,canada works to,3,2,2,2.3333333333333335
refugees and,refugee population,3,2,3,2.6666666666666665
measures and,"instruments , and",3,3,3,3.0
provide both,", is provided",4,4,3,3.6666666666666665
policy goals,political goals,4,5,4,4.333333333333333
of non-governmental organisations,for non-governmental organizations,4,3,5,4.0
of the service,of services are,2,3,5,3.3333333333333335
resource availability .,of the resources available .,5,5,5,5.0
all nations that,all the countries that,5,5,5,5.0
now continue,in continuing,5,4,3,4.0
the issue of,the questions of,4,4,3,3.6666666666666665
not already,there were no,1,1,3,1.6666666666666667
two types,two different types,4,5,5,4.666666666666667
you doing up there,you doin ' up here,5,5,5,5.0
", religions",religious and,5,3,2,3.3333333333333335
matters that are,"subject matter ,",2,2,3,2.3333333333333335
continues to play an,there continues to be a,3,3,4,3.3333333333333335
mitigate the consequences,reduce the impact,5,5,5,5.0
", in certain instances",", in some instances",4,5,5,4.666666666666667
of alternative measures,of other measures,5,4,5,4.666666666666667
be improved,be consolidated,4,3,3,3.3333333333333335
p.m. to 4:00 p.m.,a.m. to 4 p.m.,3,3,3,3.0
did n't he,do n't know what it is,1,5,2,2.6666666666666665
you are about,you 're not gonna,5,1,2,2.6666666666666665
police investigations,an investigation,4,3,1,2.6666666666666665
and the human rights,", and rights",3,2,5,3.3333333333333335
is colonel,'s colonel,3,5,5,4.333333333333333
", including in particular the",", particularly those of",3,4,1,2.6666666666666665
been permitted to,is allowed to,3,5,5,4.333333333333333
is considered that,is believed that,4,4,2,3.3333333333333335
of human trafficking .,the trafficking of human beings .,4,5,1,3.3333333333333335
of the commission for the,committees on,1,2,1,1.3333333333333333
it is committed,the government is committed,4,1,2,2.3333333333333335
- when did you,"well , did you",2,5,3,3.3333333333333335
we have to go .,we should get going .,3,2,4,3.0
and the mark,and the trade mark,5,4,5,4.666666666666667
", detailed",issue in detail,4,4,5,4.333333333333333
was an emergency,was urgent,1,4,3,2.6666666666666665
those wishing to,persons who wish to,5,3,5,4.333333333333333
others and,other jurisdictions and,4,1,5,3.3333333333333335
convention provides,convention shall be,4,4,4,4.0
both employers,the employer shall,1,4,4,3.0
compromise is,compromise proposed,2,4,4,3.3333333333333335
is anxious to,is intended to,5,3,3,3.6666666666666665
considerably better,much better,5,4,2,3.6666666666666665
"additionally , it","in addition , it has",5,4,2,3.6666666666666665
proposals presented in,the proposals contained in,5,2,3,3.3333333333333335
works well,are working,1,1,3,1.6666666666666667
report addresses,report is,4,4,3,3.6666666666666665
"of treaties ,",nations treaty,3,1,3,2.3333333333333335
it is concerned that,it notes with concern that,4,4,4,4.0
"fight against racism ,","fighting racism ,",5,2,2,3.0
provides an overview of the,gives an overview of,3,5,3,3.6666666666666665
data are available,data base,3,3,2,2.6666666666666665
note with appreciation that,note with satisfaction that,5,2,5,4.0
of the following draft decision :,the following draft resolutions :,4,5,4,4.333333333333333
"yes , she is","yeah , i 'm sure",3,5,3,3.6666666666666665
ability to,they are able to,1,4,3,2.6666666666666665
we are confident that,we strongly believe that,5,4,5,4.666666666666667
provincial governments,in the provinces,3,2,3,2.6666666666666665
- everything is,- that 's all,1,2,4,2.3333333333333335
"- yeah , i do","- yes , he did",4,4,5,4.333333333333333
be regarded as a,be considered to be an,5,2,4,3.6666666666666665
withdraw,considered withdrawn,4,5,3,4.0
of the highest importance,of the greatest importance,4,5,4,4.333333333333333
invited committee members,invited the committee,1,5,4,3.3333333333333335
very sorry,"sorry , guys",5,4,5,4.666666666666667
is implemented in,be applied in,1,1,4,2.0
the contents,the content,5,5,5,5.0
arguments presented,-rrb- arguments,2,4,3,3.0
has all along been,have long been,5,5,4,4.666666666666667
the policy objectives,the aims and objectives,1,3,4,2.6666666666666665
responding to questions,answer the questions,4,5,4,4.333333333333333
fair and adequate,fair and appropriate,5,3,3,3.6666666666666665
is just not,'s just not,4,5,4,4.333333333333333
is to ensure that,guaranteeing that,1,3,5,3.0
further consideration of the item,discussion of the topic,4,4,3,3.6666666666666665
preventing the use,prevention of the use,5,3,5,4.333333333333333
men were,two men were,4,2,4,3.3333333333333335
you are all,you 're all,5,3,5,4.333333333333333
of qualifications and,of skills and,4,3,4,3.6666666666666665
is an important stage,is an important step,3,3,1,2.3333333333333335
prepared by,report prepared by,5,5,4,4.666666666666667
such issues should be,these issues should be,5,5,2,4.0
regarding the application of the,on the operation of the,3,4,4,3.6666666666666665
to discuss,to be considered in,3,5,1,3.0
3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",4,2,1,2.3333333333333335
do n't know what happened,do n't know anything,4,3,4,3.6666666666666665
of the society,community was,1,3,4,2.6666666666666665
accordance with the provisions of article,provided for in article,2,1,3,2.0
include the following :,will be the following :,1,4,1,2.0
on implementing the,concerning the implementation of the,3,4,5,4.0
recommendations of the task,recommendations of the panel of,3,4,4,3.6666666666666665
of ammunition,"munitions ,",1,3,1,1.6666666666666667
outlined that,"indicated that ,",5,4,2,3.6666666666666665
neither is,", nor was",3,5,1,3.0
", the board established",", the council established",3,2,4,3.0
presented by,pointed out by,4,4,1,3.0
was noticeably,have been distinctly,5,3,5,4.333333333333333
let 's get to it,"right , let 's get going",5,1,3,3.0
distributed to,to submit to,2,1,3,2.0
have put in place,has put,3,3,4,3.3333333333333335
including references to,have referred to,5,5,4,4.666666666666667
"committee , having",the commission on the,4,3,4,3.6666666666666665
probe into,investigation was,1,2,4,2.3333333333333335
go forward with,go ahead with,5,5,5,5.0
now i feel,i 've been feeling,4,2,5,3.6666666666666665
is therefore important,is why it is important,2,4,5,3.6666666666666665
or programs,"programmes , as well",2,1,3,2.0
take responsibility for,be responsible for,5,5,5,5.0
i 'm an idiot,i 'm such an idiot,5,5,4,4.666666666666667
", including where",", particularly where",3,5,3,3.6666666666666665
- you did n't,- i do n't believe this,1,4,1,2.0
its grave concern at :,its serious concern at :,5,5,4,4.666666666666667
", having regard to the",in respecting the,4,4,1,3.0
conflict resolution,conflicts have,4,3,2,3.0
be utilized for,to be used for,5,4,2,3.6666666666666665
enter into force,brought into force,4,5,5,4.666666666666667
followed closely,has been closely following,4,5,5,4.666666666666667
greater participation of,greater involvement of,5,3,5,4.333333333333333
continue its consideration of this matter,continue consideration of this issue,5,5,3,4.333333333333333
all members of,the states members of,3,5,4,4.0
you 're talking,you talk,3,5,2,3.3333333333333335
", particularly the","and , in particular , the",4,3,4,3.6666666666666665
seems to be an,now seems to,3,3,2,2.6666666666666665
endangered wildlife in,endangered species in,4,1,2,2.3333333333333335
", activities and","operations , and",1,3,5,3.0
/ or recommendations,audit recommendations,3,2,3,2.6666666666666665
purposes are,"goals and objectives ,",5,4,3,4.0
you worry,you 're worried about,5,4,4,4.333333333333333
report refers to the,report mentions the,5,5,5,5.0
relating to the situation in,regarding the situation in,5,5,4,4.666666666666667
provincial and territorial,the provinces and territories,3,4,4,3.6666666666666665
provisional agreement,interim agreement,3,3,4,3.3333333333333335
why do i say that,why would they be doing that,3,2,4,3.0
center of gaza strip,central gaza strip,4,5,5,4.666666666666667
on the question of the,on the issue of,3,2,4,3.0
are reproduced in annex,appear in annex,2,3,4,3.0
"- yes , she did","yes , that 's it",4,4,2,3.3333333333333335
advice from the,to the views of the,3,1,5,3.0
have thus been,have therefore been,2,4,4,3.3333333333333335
referred to in paragraph,referred to in section,4,4,5,4.333333333333333
are accepted,is to be adopted,3,2,1,2.0
"of data ,",data are available,3,3,2,2.6666666666666665
certain circumstances -lrb-,some cases -lrb-,5,4,5,4.666666666666667
are fundamental,is a key factor,1,3,5,3.0
- how 're you doing,- how you doing,5,3,4,4.0
a bit tired,really tired,5,3,3,3.6666666666666665
various regional groups,regional groups,3,3,5,3.6666666666666665
relationships are,relations officer,2,2,1,1.6666666666666667
given time,given point in time,5,2,2,3.0
