text_1,text_2,label_1,label_2,label_3,avg_score
"if he throw s you around , li ter ally , then get rid of him period .",! we call them may day basket s,2,3,4,3.0
"of course , i have also seen brilliant women who do not know anything about men . go figure !",":) anyways , you ask what love is blind really means .",3,3,3,3.0
"movie information can be found on the website , imdb , the website , bar nes and no ble for books and the website ,  billboard for music .",that has to come up with something .,1,1,4,2.0
i don ' t think there is any .,just normal step s and work your way back up slowly .,1,1,2,1.3333333333333333
would you not know if you were that obsessed ?,im nu m years old but i will soon be nu m  . i have been in a relationship for nu m years .,1,1,5,2.3333333333333335
great question of the type i enjoy .,"he say i showed him nu m f ing ure s telling him abt god the father , son and holy spirit .",1,2,1,1.3333333333333333
they killed g b ush and b in la den in the same day !,i like the red dress too .,2,2,5,3.0
"for whom are you searching , where does he live and why are you looking for him ?","i ' m married now with no bad feelings , and it is good stuff .......",1,4,1,2.0
the answer is that she believe s you to have taken her place .,frank ie j its on his album the one i posted the link nu m u lyrics . as tra we b . com ... the best !,4,1,2,2.3333333333333335
"to a festival , out for lunch , to have a coffee break , or for a movie if you are brave enough .",no do not call his but t . if he still had feelings for you then he would be call in you !,1,3,1,1.6666666666666667
they act kind of shy but they are not really .,u dont have love without a lover !,1,2,1,1.3333333333333333
i do not know if you are typing .,i just knew big da ve would know this one !!,1,2,1,1.3333333333333333
stay until you know it is over and when you leave you should not go back .,im no y a low ed nu m go out until next year so there u go .,3,1,2,2.0
share your faith with others without caring what they think about you .,source - i needed an f cc class c license to be a dj on an f m station .,4,3,4,3.6666666666666665
you should just do what you are most comfortable with .,you need a lot of attention and pa m per ing,1,1,1,1.0
"i don ' t want them to like me for my size , but for who i really am .",wheel your old ass out there and sing .,1,3,2,2.0
"yes but you already know that , do you not ?",it ' s really normal to think of him and love him because u just do .,1,2,1,1.3333333333333333
"click the link below , i do not believe it is something you can eat .",what are some ways i can make my boyfriend happy ?,1,1,2,1.3333333333333333
try looking up step hen king or other author s .,if you have even the slightest doubt then don ' t do it .,3,1,4,2.6666666666666665
"if she found out that you knew that she was the one who murder ed him , then she would murder you as well .",i have never heard that but if it is true why his wife is beautiful,1,1,1,1.0
"my favorites are cowboy be bo p , full metal al che m ist and read or die , i love those .",and yes in love is what you want to marry for .,3,1,3,2.3333333333333335
you shouldn ' t concern yourself with guys who don ' t look past your size .,anybody can be totally hot but yet be a big loser !!,2,3,2,2.3333333333333335
a nice vacation destination is split s ville .,"michael r ome o is ph en ome nal , i showed him to my dad once ...",2,3,3,2.6666666666666665
will he return if he see s i earn ed nu m bonus points ?,i could care less .... never liked the show .,1,4,1,2.0
the song made me laugh because my friend kept jumping at me and saying me name .,"in die isn ' t really in die anymore , is it ?",1,1,4,2.0
"it is perverted of you to ask that question , he was only joking .",for me though if i had to choose just one it would be romance for sure  .,1,1,3,1.6666666666666667
