text_1,text_2,label_1,label_2,label_3,avg_score
at least he ' s self aware,"i know that this is a random fact , but i once met died re ha ll of , ' day s of our lives , ' on a cruise .",1,2,1,1.3333333333333333
you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,"he is about n um - n um years old , and he has a crush on me .",1,1,1,1.0
and last but not least - -- does he always just happen to be staring . . . ?,this girl does not want a sh it ty man .,2,3,1,2.0
"and i have the answer , my music that i sing in the shower .",i hope this doesn ' t end .,1,1,1,1.0
there are n um  : young frank en s te in rais ing a ri zon a love and death,her and bill g ates own it . . . you know it s a conspir acy,1,5,1,2.3333333333333335
that s mess ed up she did that in front of u,just search for anything with the names of beer or liquor in it .,3,1,4,2.6666666666666665
i ' ll pick one of my favorite country ones . . .,crash  = awesome,1,1,1,1.0
how do you get a blond to kill herself ?,somewhere inside yourself you are strong .,1,3,1,1.6666666666666667
that ' s the best joke i ' ve ever heard .,are you asking to get made fun of ?,1,1,1,1.0
guy : im a caveman girl : what s this ?,"it happened right there in the middle of the river , i fell over laughing",4,1,1,2.0
that bu ll sh it . . . ma y be u just got some issues with a sian women . . .,you need to tell her how you feel and that you love her !,3,1,3,2.3333333333333335
carrie under wood - don ' t forget to remember me,"if u really have the urge , send one to him too .",1,2,4,2.3333333333333335
"why do the women their have hair on their face s , y uck ! !",you go nna ask in a text ! ? that ' s just lame !,1,4,1,2.0
"yeah , i used to listen to them all the time like n um years ago .",should i break up with him or not ?,2,3,1,2.0
i ' ll give you three pe nnie s for that .,"if you re ' not into hi lary d uff , i have a different option for you . . .",1,1,4,2.0
your girlfriend should just accept that if she loves you,"i hate wear in flats , i a int gun na wear em for a guy .",3,1,1,1.6666666666666667
sorry i don ' t feel that way .,get over your fear and tell him,1,1,3,1.6666666666666667
that song is go nna be our class one .,well if he likes you you ' d better go with him,1,2,2,1.6666666666666667
then u can make an easier decision .,l ma o . i just flick ed a boo ger at you .,4,3,1,2.6666666666666665
once you pass it it ' s hard to get again,i won ' t use any of my friends as partners .,1,1,1,1.0
the chase is over once they are interested .,pretend to be a woman looking for a job with the n s a and send him an im,1,2,1,1.3333333333333333
it is to tally a chick show .,"i ' m not go nna say my name but ye a , i know her and work ed with her for years",3,2,3,2.6666666666666665
all girls think different  bout things i can see that,"everyone s all together ,",1,1,1,1.0
it s a whole bu nch a math sh it  * lo l * n um and n um  / n um x n um  . n um  = n um  . n um,c runking is more of a hip hop thing,3,2,4,3.0
well if you w anna meet some hot mama c it as i would go to the library or maybe w almart .,some people can eat stuff and others think it ' s gross . . .,5,4,3,4.0
"i love true love ways . u know , that song ?","some guys shave , but it depends on the woman . . .",2,3,4,3.0
a tomboy does not a lesbian make .,you need to try and see how much it bothers you personally .,3,3,3,3.0
in the h arry po tter movies the role of  ron we as ly is played by r u pert gr int,the lyrics has a part that say some thing lik -- i ' m n um for a moment .,4,2,1,2.3333333333333335
mix in some commonly known songs too .,get those things reduc ed less pain,1,3,1,1.6666666666666667
"girl , more dude s in the world like fat chick s than you think","right , it ' s good to resist the temp t ation for sex .",2,1,1,1.3333333333333333
i got a great idea you can move to new  z eal and .,oh yeah you really need to see this !,2,3,3,2.6666666666666665
men are dumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! who the hell know what they re thinking when then do what they do,she had a whole sp read done in  king magazine that s coming out ! ! !,1,5,3,3.0
y ur never happy with what you ve got,i have all the dvd s but season n um  .,3,1,4,2.6666666666666665
"if he were just ok man , would we know who he was ?","i ' m a le o , but thanks .",1,3,3,2.3333333333333335
this song is my  jam ! !,you ' re so annoying,3,1,3,2.3333333333333335
because for her  taking it out when times are tough and it ' s difficult,"well , i got one foot in libra and one in scorpio .",4,1,1,2.0
others like to do as society says but i think we should re bel and love thick girls !,ur go nna have bad times if y a need  ur ex emotionally .,1,1,2,1.3333333333333333
"don ' t  poke at him , he ' ll let you know when he ' s ready","ha , be n be n b lew up ! ?",2,3,1,2.0
"but he is just too cute , plus he ' s old , i ' ve just always liked old bald men .",u sure you want to communicate,3,1,2,2.0
"he don ' t deserve her i mo , so she needs to stay single",they are n ' t a bad person !,2,3,1,2.0
i personal y think it is stupid . . . . i also hate star war s x d,choose a song that makes you feel like moving and gro o ving .,4,1,1,2.0
or ask about the score of last game ?,become a kin to wil d animals . have intercourse at any location .,1,4,1,2.0
i have no idea where to begin ! ! !,you can learn from this .,1,1,1,1.0
especially if u are looking to get married and set tle down .,do you ever replay what u did to me ?,2,1,3,2.0
they are good en u f to tour !,are you sure that show got cancelled ?,1,1,1,1.0
u don t know how old he is ? ? ? ?,"love is a time less flower , if you work at it , it will grow forever .  < n um",4,1,2,2.3333333333333335
using blow - up dolls in videos and pretending to have sex ... . . !,what don ' t you get ? he just wanted to sleep with you,5,4,1,3.3333333333333335
green day is the best i think,"i bet you will get him , so good luck .",3,1,1,1.6666666666666667
if it doesn t mean anything then y is she go in out w / another g ur l  ?,that ' s hilarious co z i ' ve heard it before .,4,1,1,2.0
"what are you talking about , you don ' t know women ?",according to sue he fell off the bottom rung .,1,3,1,1.6666666666666667
oh y a add suicid al tendencies to that list too .,make sure cat s don ' t wave r from you .,3,1,4,2.6666666666666665
"really , is it that important ?",do not go out with a stranger . please be careful,3,1,3,2.3333333333333335
try wearing some ting sub t el and also soft,why did you marry him,3,1,3,2.3333333333333335
here ' s my advice . trust her .,you ' ll be  able to breathe better lo l,1,4,5,3.3333333333333335
"keep that , you may find he is a really cool guy and want to stay friends","she ' s for giving , my wife .",4,4,1,3.0
"hands down s ah id , oh that man is so o sexy .",break ing free or a something like that is the best song .,4,1,3,2.6666666666666665
but it might be interesting to watch sometime . . lo l,"get to be friends , then go from there .",4,1,2,2.3333333333333335
well i hope you read this really well .,she ' ll tell y a if it won ' t work .,4,1,3,2.6666666666666665
let her know you need intimacy every now and then,i don ' t know any jokes .,1,1,5,2.3333333333333335
"i ' m a leg it fan of the song called crash , definite l",i ' m not them .,1,3,1,1.6666666666666667
is put ting a a d in the local paper something we can do ?,yeah i was wondering about that too .,3,2,4,3.0
why their more exciting sports are the ones with a lot of contact ?,"if he wants to be friends , that ’ s fine .",1,4,1,2.0
what in the hell should i say ? ?,let ' s go to an amusement park or a museum .,1,1,1,1.0
"if it s truly love it s not scary , and if your scared it it s not love . you have nt met the right guy n um u , w ug l","he makes you aroused every day , you should thank him and be impressed .",1,1,3,1.6666666666666667
we could n ’ t think of anything better to do .,she loves you like a brother .,2,1,1,1.3333333333333333
he keep s going on about how mad he was cu z he did n ' t see it coming .,just sit w / them and say u want n um b understood and support ed,1,1,5,2.3333333333333335
the guy from the movie hell boy .,i just met a chick and i w anna know if she s into it,1,2,3,2.0
i say around n um or n um,it s def a favorite of mine !,3,3,5,3.6666666666666665
"in any case , their personality needs to be something i can to l erate .",ok so here is my favorite .,1,1,2,1.3333333333333333
"t ank top or halter top and jeans , perhaps ?",get a firew all and anti  virus if u don t already,4,4,4,4.0
over time should i give him another chance ?,"she accomplishe s it once more , feel ashamed .",4,1,2,2.3333333333333335
it ' s really hard to pick only one .,"women are not easily sexually aroused , you need he op",1,4,1,2.0
be cool and ask her on a date !,i liked the movies and i heard sh rek n um is coming out pretty soon .,1,3,1,1.6666666666666667
n where can i get a platform to start with ? ! !,you mean over and over by ne lly and tim m c g raw ?,3,3,1,2.3333333333333335
for me that s exactly what i ' m looking for . if i were looking .,you have to look into your own heart see if you have feelings for him .,1,1,2,1.3333333333333333
that ' s really helpful even if it s not really necessary,"she is from the country , so she is well grounded .",1,3,1,1.6666666666666667
om g bill ie  jo e from green day is the best ! ! !,she ' s got ta get a good job .,1,2,1,1.3333333333333333
she to ok on a rmed guards at a palace in t urke y !,"however , i truly love this girl .",4,3,1,2.6666666666666665
even if a guy is over n um that can still be hot and chill .,"yeah , i think you ' re right , that mess is confusing",1,1,2,1.3333333333333333
once they ( both money and time ) are spent never comes again .,i went there and he was there,4,1,2,2.3333333333333335
"don ' t let no man find out , they be hat in '","if i did , then how come i ' m going through his things ?",1,3,1,1.6666666666666667
it was for the reunion show . . . show was cancelled,would that be a buzz ki ll er ?,1,1,2,1.3333333333333333
"icy blue , and u can see it ' s breath and it will have ic icles on it ' s nose",it was easy to figure .,1,3,2,2.0
i can tell she ' s hooked on pain me d s .,when are you going to watch the par is hi lton video ?,1,1,4,2.0
"practice unwrap ing s tarburst s with your tongue , women love it !",i ' ve been beat ing a dead horse trying to find the name of the song along with who sings it .,2,1,4,2.3333333333333335
stand strong and let it go .,i ' m like pretty much the greatest at like everything i do .,4,1,1,2.0
far enough to be away from family but close enough so they can visit maybe once a month ?,"you have to do it , if you want to get married and have kids !",4,1,5,3.3333333333333335
s no op y come home was the best ! !,i dig songs in e nglish and chin ese too . .,3,1,3,2.3333333333333335
and i want to try again .,open those big pretty eyes and smell this bread !,4,1,1,2.0
ask her if it ' s okay if you are n ' t sure .,"what a  redneck these two boys are , playing glue sn iff ing",4,1,4,3.0
"and bow wow cu z they are young , talented and fine ! ! ! ! !","if you like her , compliment her on her hair , outfit , shoes , whatever !",3,5,1,3.0
this culture gets it right !,this girl does not want a sh it ty man .,1,1,3,1.6666666666666667
j on  & i used to be really close  & talk all the time about anything  & everything .,so bu mmed they cancell led,2,3,3,2.6666666666666665
someone i can be myself with .,at least that way i would be into her .,3,4,3,3.3333333333333335
no not really but if you do f = get pre gan at your baby can be still born or have birth de fects,"so if that ' s true , what should i do for her ?",1,2,4,2.3333333333333335
invite him for a dinner or movie !,people come and go so you should pray for g ui d ance .,3,1,2,2.0
actually i am from in dia so i like in d ian idol,"that song , she s like the wind , from dirty dance ing",1,5,3,3.0
it be e id a ' some coffin o ' some ' h aid st one .,"' d ance , ' ' d ance fall out , ' or a random track from one of their albums",1,1,4,2.0
"i despise that type . remember that money can purchase many things but class , style and grace are not am ong them .","believe what you see with your own eyes , you know him well by now .",4,5,1,3.3333333333333335
they re way different man .,is there some mix ing app out there ?,1,1,1,1.0
i want to know if your lonely .,she doesn t like u like that,1,1,1,1.0
they both fri ck en suck cu z  ive never seen them,she  tries to sing but just no . . . j ust no .,1,2,1,1.3333333333333333
yo i just got a  mp n um and am looking for good  ( free or pay ) sites to download music from .,for valentine s day send the ex a gift,1,1,1,1.0
well there may b some reason n um such a kind of be ha vi our  .,"m c s teamy is her ba e , she should get back with him so much !",3,2,1,2.0
but defin ate ly force her because no bra is very unattractive .,he should experience it for himself .,1,4,1,2.0
i think it s a good thing . . . . to try the milk before you buy the cow ... . .,how much can we discover about you simpl y by analy zing your str ide ?,1,3,3,2.3333333333333335
"you can ' t fix what ' s going on w / her parents , but maybe what ' s going on with friends ? why ?",any n um no of a cast ing call site ?,1,4,4,3.0
"you better give your man some space , they don ' t like feeling possess ed .",yeah my ex said it too .,4,1,2,2.3333333333333335
"n um st of all you can ' t help what you dream about , and n um  nd fantasiz ing is just that , a fantasy .",they won ' t be dragg ing them around anymore .,1,1,4,2.0
tell your parents u love them and move on .,i ' m go nna have to defen d the werewolf here . . .,1,1,4,2.0
