text_1,text_2,label_1,label_2,label_3,avg_score
when be buddhism religion found ?,where and when be the religion found ?,2,5,3,3.3333333333333335
man satisfy when semen get out wat about girl how they get satisfy ?,how do you make girl satisfy ?,3,3,3,3.0
how hot be kathy brennan ?,who be jeff brennan ?,1,2,4,2.3333333333333335
how do you change a ford focus sidelight bulb ?,headlight on a 2006 ford focus ?,4,2,3,3.0
giant squid endanger ?,be giant squids endanger ?,5,2,4,3.6666666666666665
the garbage disposal problem can best reduce by ?,the garbage deposal problem can best be reduce by ?,5,5,1,3.6666666666666665
what do ammonite life ?,where be a ammonite 's habitat ?,2,3,2,2.3333333333333335
be there any job opening for a vet what be the outlook ?,what be you chance of get a vet job ?,2,3,4,3.0
what conflict be face by rikki tikki tavi when he encounter karait ?,what be four conflict that happen in rikki-tikki-tavus ?,2,1,5,2.6666666666666665
how you dance merengue ?,how many beat per measure be this dance ` merengue ' ?,5,3,5,4.333333333333333
how do you remove mildew from you roof ?,how do you remove mildew in the shower ?,2,3,3,2.6666666666666665
what year be mark twain be bear ?,when be mark twain bear and death ?,4,2,5,3.6666666666666665
when do rap start to come out ?,how do the rap industry start and how be it organize ?,4,3,2,3.0
when do winstn churchill become prime minister ?,how do churchill become primeminister ?,3,5,3,3.6666666666666665
who have mark wahlenberg date ?,have mark wahlberg ever date a black girl ?,2,2,2,2.0
where be egr valve 1996 mercurt villager ?,where be the egr valve in 97 mercury villager ?,5,5,4,4.666666666666667
do guy know about peter minuit because im do a report about he ?,what do peter minuit say ?,3,5,1,3.0
what be the name of soulja boy ' father ?,soulja boy father first name ?,4,5,2,3.6666666666666665
can you get a pet wolf ?,why should not wolf be keep as pet ?,2,3,4,3.0
what be the square root of 99999999999999 ?,can a plant grow from root beer ?,1,1,1,1.0
what be the symbol for allegheny energy ?,what be the ticker symbol for allegheny energy ?,3,4,4,3.6666666666666665
what do the shutter release do in a camera ?,how do a shutter release on camera work ?,3,4,1,2.6666666666666665
where would you find evidence of the holocaust at ?,what evidence be there of the holocaust ?,3,1,5,3.0
what be the most exspensive cion in the world ?,what the most exspensive thing in the world ?,4,3,3,3.3333333333333335
how do you compute growth ?,how do you find growth in revenue ?,5,2,5,4.0
how many type of doctor job be there ?,what be type of the doctor level ?,3,3,2,2.6666666666666665
what kind of star be alpha centaurus a ?,what be alplha centaurus ?,3,4,4,3.6666666666666665
what be value of 1936 mercury dime ?,1936 w mercury dime with a d mint mark ?,2,3,5,3.3333333333333335
what be nonliving nature ?,be a basketball nonliving ?,1,4,2,2.3333333333333335
what phobia be the fear of computar ?,what do you call a phobia to computer ?,3,5,4,4.0
how many child do roald dahl have with each wife ?,who be roald child ?,3,4,4,3.6666666666666665
what be consider the control center in a cell ?,what cell be the control center ?,2,3,5,3.3333333333333335
what be the yearly salary of a obgyn ?,salary a obgyn in new york ?,4,4,3,3.6666666666666665
bouyant force and the physical principle it causess ?,what be the bouyant force of water ?,2,4,2,2.6666666666666665
what be some code to dino run ?,what arethe cheat for dino run ?,4,5,4,4.333333333333333
when be holy trinity church build ?,be there a word in the bible of holy trinity ?,3,5,1,3.0
how many record do amelia earhart get ?,what president set three unique record ?,1,1,5,2.3333333333333335
how do you enter silph comin pokemon crystal ?,how do you enter silph company office in leafgreen ?,3,3,3,3.0
how much do a south african newspaper cost ?,how much do newspaper for a year cost ?,4,4,2,3.3333333333333335
what be the difference between totaland partial eclipse ?,what be the difference between a total solar eclipse and a partial eclipse ?,3,3,3,3.0
what be the interior core of the earth make up of ?,what be earth interior up of ?,1,4,2,2.3333333333333335
can you die form strep ?,can you die of strep throat ?,5,4,5,4.666666666666667
what be laminectomy defect ?,should you avoid boat ride after laminectomy ?,5,2,3,3.3333333333333335
what be importance of physical education ?,what be the importance of play physical education ?,5,3,5,4.333333333333333
how do you actract moshling ?,how do you see moshling while you be there ?,4,3,1,2.6666666666666665
who hold the trial in the impeachment process ?,who hold the trail in a impeachment case ?,5,5,3,4.333333333333333
how many zero do the number a million have ?,how many zero do 6 million have ?,5,5,4,4.666666666666667
what be som prokaryote ?,what be the purpose of prokaryotic ?,3,3,4,3.3333333333333335
how do you use a dowsing machine in ?,how do you find stuff with dowsing machine ?,5,4,4,4.333333333333333
how high mteverest be ?,how many mile be it to mteverest ?,3,2,4,3.0
how big be usc 's campus in mile ?,how big be west point campus ?,3,2,1,2.0
