text_1,text_2,label_1,label_2,label_3,avg_score
now continue,recent publications,1,4,1,2.0
mitigate the consequences,outcomes of all the,3,2,3,2.6666666666666665
provide both,as was noted in,1,1,1,1.0
was seeking to,"weapons , ammunition and",1,1,1,1.0
did n't he,goes there,5,1,5,3.6666666666666665
of the service,works closely with,3,3,1,2.3333333333333335
been permitted to,practices in the area,2,3,1,2.0
the issue of,disarmament was,1,1,2,1.3333333333333333
of non-governmental organisations,guilty,4,1,1,2.0
", religions",see what 's going,1,1,4,2.0
- when did you,or reducing,2,1,1,1.3333333333333333
not already,thereby helping,1,1,2,1.3333333333333333
of alternative measures,", including , in particular ,",2,4,1,2.3333333333333335
you doing up there,ensuring the safety and security of,1,3,1,1.6666666666666667
report addresses,decides to maintain the,4,2,1,2.3333333333333335
all nations that,'m going to kill you,1,1,2,1.3333333333333333
police investigations,will be needed to,1,1,1,1.0
of human trafficking .,and defense,1,1,1,1.0
continues to play an,friendly relations between the,1,2,2,1.6666666666666667
provides an overview of the,women -,3,4,3,3.3333333333333335
matters that are,even though they are,1,3,2,2.0
and the mark,shall begin,1,1,1,1.0
ability to,organization which,1,2,4,2.3333333333333335
be improved,associated himself with,1,1,4,2.0
p.m. to 4:00 p.m.,said today,1,4,2,2.3333333333333335
convention provides,is the purpose,2,1,4,2.3333333333333335
withdraw,text of the resolution as adopted,1,3,3,2.3333333333333335
and the human rights,further enlargement of the,1,1,1,1.0
is colonel,you did n't really do that,1,3,1,1.6666666666666667
the contents,secretariat regarding,5,2,1,2.6666666666666665
"yes , she is",and exports of,5,1,1,2.3333333333333335
of the commission for the,", and enhancing",1,3,1,1.6666666666666667
be regarded as a,is still there,1,1,1,1.0
responding to questions,the trips agreement,1,1,4,2.0
we have to go .,the session was also attended by,5,1,4,3.3333333333333335
", including in particular the",and states of the,2,1,1,1.3333333333333333
is implemented in,one of the main goals of,1,3,1,1.6666666666666667
preventing the use,ratification of the convention on the,1,2,3,2.0
", detailed","kilometres ,",1,1,1,1.0
is just not,'m able,4,1,4,3.0
those wishing to,was planned to,5,3,2,3.3333333333333335
of qualifications and,"where necessary ,",1,1,1,1.0
you are all,guaranteed by the convention,2,1,3,2.0
is anxious to,'re really,1,1,2,1.3333333333333333
to discuss,as few as,3,1,4,2.6666666666666665
others and,looks down at,1,1,3,1.6666666666666667
3/12/2005 ad -lrb- updated,"on human rights ,",2,1,1,1.3333333333333333
proposals presented in,for the achievement of the goals,1,4,5,3.3333333333333335
of the society,and refresh the,4,2,1,2.3333333333333335
"of treaties ,",coherent and coordinated,4,1,4,3.0
accordance with the provisions of article,fulfil their commitments,3,4,2,3.0
compromise is,primary,1,1,3,1.6666666666666667
neither is,issues to be,4,3,3,3.3333333333333335
its grave concern at :,is now being,4,2,1,2.3333333333333335
"fight against racism ,",contradictions among,2,2,4,2.6666666666666665
considerably better,in order to bridge,1,1,3,1.6666666666666667
let 's get to it,amending a,3,1,1,1.6666666666666667
all members of,where the hell is,3,3,1,2.3333333333333335
of the following draft decision :,we 're gonna be okay .,1,3,2,2.0
works well,there are two,3,3,1,2.3333333333333335
"committee , having",exactly how you feel,2,3,1,2.0
seems to be an,of states members of,3,2,1,2.0
- everything is,develop and strengthen,2,1,1,1.3333333333333333
", activities and",the companies,3,4,1,2.6666666666666665
invited committee members,british soldiers in,2,3,4,3.0
is therefore important,all groups of,2,1,1,1.3333333333333333
the policy objectives,", condemns",1,1,1,1.0
", including where",are available on,1,1,2,1.3333333333333333
why do i say that,concluding observations / comments,4,3,1,2.6666666666666665
men were,for these crimes,2,1,1,1.3333333333333333
you 're talking,its consideration and,3,1,3,2.3333333333333335
"- yes , she did",commission established,1,1,1,1.0
such issues should be,under the menace of,2,1,1,1.3333333333333333
purposes are,", among other things ,",1,2,3,2.0
"of data ,","furthermore , it was",4,2,1,2.3333333333333335
on implementing the,", the capital of",2,4,3,3.0
provincial and territorial,are all aware of,1,1,3,1.6666666666666667
a bit tired,"is true that ,",1,3,1,1.6666666666666667
on the question of the,cost of this,1,2,2,1.6666666666666667
of ammunition,abuse of power and,2,1,1,1.3333333333333333
given time,to step up their efforts to,2,2,1,1.6666666666666667
have thus been,with the establishment of a,3,2,1,2.0
", the board established",progress achieved,1,1,1,1.0
departments of education,who were detained,2,1,1,1.3333333333333333
note with appreciation that,especially vulnerable to these,3,1,1,1.6666666666666667
distributed to,that would be,3,1,2,2.0
's very important for,of persons with disabilities,3,1,1,1.6666666666666667
we are confident that,got a letter from,3,1,1,1.6666666666666667
non-governmental organizations,must be adopted,4,3,1,2.6666666666666665
probe into,", with all its",1,1,1,1.0
"- yeah , i do",you are correct,4,1,1,2.0
or programs,necessary steps to enable,1,1,2,1.3333333333333333
of people with disabilities,"abilities , and",4,1,3,2.6666666666666665
- how 're you doing,", stable",3,1,4,2.6666666666666665
very sorry,"drug products ,",3,3,1,2.3333333333333335
take responsibility for,the children of,4,1,3,2.6666666666666665
police officers and,is vital for,1,1,2,1.3333333333333333
has all along been,n't wanna come with me,1,5,1,2.3333333333333335
's hard to believe,"however , are",1,4,4,3.0
- you did n't,what was that all about,3,2,1,2.0
is to ensure that,is a very big,1,3,3,2.3333333333333335
be utilized for,document presented,1,3,1,1.6666666666666667
of the tribunal for the,regarding the issue of,1,2,2,1.6666666666666667
development of a,we are expecting,1,4,1,2.0
