text_1,text_2,label_1,label_2,label_3,avg_score
"i ' m confused , what were your asking ?",i am confused . what were you asking ?,5,5,2,4.0
"listen to a real band , e . g . , "" as i lay dying .""",listen to real music like as i lay dying .,2,5,5,4.0
you have to call that number !,you have to call the number .,5,3,5,4.333333333333333
i do not care for large breasts .,i don ' t like large breasts .,1,4,5,3.3333333333333335
you are right . you did the right thing .,you are absolutely correct that you did the right thing .,5,4,4,4.333333333333333
i am tell ing you this from my personal experience .,i am tell ing you this from personal experience .,5,5,5,5.0
i am glad that i do not like rap music because that is really creepy .,that is rather strange . it is fortunate that i do not like rap music .,2,2,5,3.0
"if they ask for cash only and no pay p al , they will not treat you fairly .","if they request cash rather than pay p al for trans action purposes , it is likely they will be unsc r up ulous .",3,1,1,1.6666666666666667
"just talk to them , what are they going to do , slap you ?",just tell them . what are they going to do ? slap you ?,5,4,5,4.666666666666667
simpl y disc o unt his legs and singing voice and there you have it .,just take away his dancing and his singing voice and you have it !,3,5,2,3.3333333333333335
i hope that you find this one funny .,i hope you find this one amusing .,5,4,4,4.333333333333333
"if you have me r cen ary friends , then they can take care of anyone who anger s you .",that way when you become anger ed by somebody you can have your ne f arious friends cause harm to them !,4,1,3,2.6666666666666665
"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !","the seven dwarves are these : sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful .",5,5,5,5.0
"in my case , i think around n um  % .","in my situation , probably n um  % .",2,3,2,2.3333333333333335
is what i saw on the television about him true ?,"i saw a tv program that said he did , is it true ?",4,2,3,3.0
"intercourse with love , of course . you must love the person with whom you are having coitus . it is very important .",you should love the person you are having sexual relations with .,2,4,3,3.0
"par is is not simple - minded , her intelligent quotient is around n um  .","she is not "" dumb "" , her i q is around n um  .",3,5,2,3.3333333333333335
marry her at the court house .,marry her at the court house .,5,5,5,5.0
"i believe i am a more frequent listener to rock and roll , i would guess .",i think that i listen to rock music more .,5,2,3,3.3333333333333335
are you sure you want to be with someone unsure of what he wants ?,are you certain that you want to be with someone who doesn ' t know what he wants ?,5,1,2,2.6666666666666665
my dad and i together have b ought about n um items .,my dad and i together have b ought ab ought a thousand items .,4,3,3,3.3333333333333335
are you referr ing to time or longitud e ?,is what you ' re referr ing to the con cept of time or the longitud inal reading ?,3,4,4,3.6666666666666665
"if your future husband cheated on you , how would you feel about that ?",would you enjoy it if your future husband cheated on you ?,2,3,3,2.6666666666666665
i enjoy lonely  nation and gold en .,"i love "" lon ely  nation "" and "" g old en "".",5,4,3,4.0
