text_1,text_2,label_1,label_2,label_3,avg_score
i do not care for large breasts .,"well , he is a father now also .",4,1,3,2.6666666666666665
i hope that you find this one funny .,some guys do not like girls playing with their behind s .,1,1,1,1.0
"i ' m confused , what were your asking ?",not having sexual relations is very beneficial when the woman is gro tes que .,2,3,3,2.6666666666666665
"listen to a real band , e . g . , "" as i lay dying .""","to that , the girl responds no .",1,2,2,1.6666666666666667
"in my case , i think around n um  % .","no , are you a girl or a boy ?",3,1,2,2.0
you have to call that number !,it is not worth stick ing with someone who is not right for you .,1,1,1,1.0
"intercourse with love , of course . you must love the person with whom you are having coitus . it is very important .",me rely say it casually .,3,1,1,1.6666666666666667
you are right . you did the right thing .,if s awyer would quit glaring .,2,1,1,1.3333333333333333
i am tell ing you this from my personal experience .,"give him a chance , as well as some time , to get to know the children .",4,2,2,2.6666666666666665
"i think i would most likely not recommend it , at least i did not have to pay to watch it !",a baby seal walks into a club .,1,4,3,2.6666666666666665
are you sure you want to be with someone unsure of what he wants ?,sex with my sexy man  ( and i did not have to share him ) .,4,4,3,3.6666666666666665
"if they ask for cash only and no pay p al , they will not treat you fairly .",because it is good and humorous .,4,3,1,2.6666666666666665
there is nothing wrong with her asking for your telephone number .,why do people act to mean to those that are nice ?,1,1,2,1.3333333333333333
"if your future husband cheated on you , how would you feel about that ?",you should have intercourse when you are aroused .,5,2,1,2.6666666666666665
simpl y disc o unt his legs and singing voice and there you have it .,they have a great voice and are easy on the eyes .,2,4,1,2.3333333333333335
i love the song bad day .,he just need to respect me and my people .,3,1,1,1.6666666666666667
"just talk to them , what are they going to do , slap you ?","you need to focus on how thing are , and what would be be s st for you .",1,1,1,1.0
is what i saw on the television about him true ?,you ask her and she should tell you honestly .,2,1,3,2.0
her reply to him saying no is ' you will be when the t ide comes in . ',are you asking if i like you ?,1,1,1,1.0
start step n um if you don ' t see any results after n um weeks .,j enn if er lo pe s in promiscuous .,1,1,4,2.0
"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !",i dislike wearing flats . i will not do it simpl y to make a man feel better .,1,2,4,2.3333333333333335
marry her at the court house .,why did the a mpute e visit the bar ?,1,1,1,1.0
"i have it . also , skip ahead to the movement before the can - can . it is me s me ri zing .","arguments should be done in private , out of respect for the spouse and your company .",1,3,1,1.6666666666666667
"par is is not simple - minded , her intelligent quotient is around n um  .","if you do know who y anni is , then i feel sympath y for you .",3,3,2,2.6666666666666665
"i am work ign pretty fast , maybe in n um - n um minuites .","bill g ates used to be concider ed ugly , and look at him now .",1,3,1,1.6666666666666667
are you referr ing to time or longitud e ?,"also , he said that he would call me back .",3,1,3,2.3333333333333335
stay out of this until time calm s them down .,"i care about him a lot , and i miss him .",2,5,1,2.6666666666666665
my dad and i together have b ought about n um items .,it is a crazy movie .,3,3,4,3.3333333333333335
i think that bra d is having some sort of cris is .,"my friend says that i am too nice and that i should tell them , "" no .""",2,3,1,2.0
i enjoy lonely  nation and gold en .,"yes , i get nervous when speaking over the phone and i tend to start stutter ing and cough ing .",3,2,3,2.6666666666666665
they were all in the bottom n um last week .,after a few weeks they will get a postcard from him .,1,1,4,2.0
i am glad that i do not like rap music because that is really creepy .,"just be yourself , confident and honest . you will see if it meant to be .",3,2,3,2.6666666666666665
"you should just leave him l one , he got e ht he wanted , and maybe he does not want to talk to you anymore .",bit by bit you win my love .,3,1,1,1.6666666666666667
do not fall for it again .,"a guy goes back in time , and fall s in love with a girl he saw a picture of .",2,1,4,2.3333333333333335
"don ' t say it to him upfront , it may have been fine once before , but not anymore .",please allow mine to be the best answer !,5,1,1,2.3333333333333335
i love the sound of the two of them together .,"there is a small issue , i do not know how to play .",1,1,1,1.0
wait . perhaps it is not yet time for you to meet the right person .,"they look cute r together than other couples , and i like j en better than his last partner .",4,1,4,3.0
"if you have me r cen ary friends , then they can take care of anyone who anger s you .",i met my last boyfriend while i was driving in a roundabout .,1,1,1,1.0
i am very excited . i want new y ork to fight p umpkins .,what in the world does that mean ?,2,1,3,2.0
"yes , i am attracted to cliche films direct ed towards woman .","i do believe that everyone deserve s the right to enjoy my girlfriend ' s dancing talents , you are wel come to come if you want to .",5,1,1,2.3333333333333335
a lan mo ore is whin ing that it ' s not .,"he is sweet , but does not always think correctly .",1,3,4,2.6666666666666665
"i believe i am a more frequent listener to rock and roll , i would guess .","anything large r than a handful , probably a size c or d , is excessive .",3,1,1,1.6666666666666667
"maybe to help him vent , he should play some heavy metal music once in a while .",ac / d c as a xle rose is a weak man .,3,1,1,1.6666666666666667
have you ever tried to listen to gun s and roses ?,have you in the past attempted to enjoy any gun s n ' roses ?,3,5,4,4.0
"if you could have four qualities in a woman , what would they be ?","also , my aunt once employed bra d pit t to m ow her lawn .",3,2,4,3.0
they ask her if she has any last requests .,"i love that movie , however , i do not remember the name .",5,4,1,3.3333333333333335
i really enjoy star war s .,do that and see if he still wants to remain in your life .,2,1,3,2.0
"twenty years down the road , that is all you can be . so , start from the beginning .",he probably wants to know if you ' re interested in him .,1,1,1,1.0
i doubt he would have so many television s .,i wish you luck .,4,4,3,3.6666666666666665
i like any show where they performed music .,you can not get the whole story from what you see on the news .,4,1,2,2.3333333333333335
yes i do like her a lot but i do not think that she is the greatest singer .,simpl y because someone is older does not mean he is near death .,1,3,1,1.6666666666666667
no body comprehend s what true problems are until you get married and have children .,"number five , because it was very interesting .",1,3,4,2.6666666666666665
""" oh , i don ' t know ,"" said the man .",i guess i do not really get too concerned about it .,3,1,2,2.0
"fall ing in love , real love , is magical . . . until reality set s in .","they both shot heroin , though . so other than her , who is really going to know ?",1,4,3,2.6666666666666665
"thanks so much . if anyone can help , i would appreciate it .",i was going to ask this question .,1,4,2,2.3333333333333335
my favorite books are n ar u to books .,you can tell if it is too long if the woman find s it painful and it does not fit .,2,3,5,3.3333333333333335
"as long as there is no physical activity , i do not see why not .","i previously played the flute , but quickly be came en am ored with the saxophone once i started playing it .",1,1,1,1.0
do not forget to post why you think so .,therefore begin conserv ing cur re n cy and time from this point forward .,4,2,2,2.6666666666666665
i prefer her over angel ina .,i enjoy the c lash .,1,1,2,1.3333333333333333
i think li s a is extreme ly attractive .,"as a man , i know that most men are in relationships for their own gain .",3,2,2,2.3333333333333335
you are not one who she would normally like and i believe she is the same for you .,"it was just broad cast on h bo or show time , or a similar service .",3,2,1,2.0
i feel great when ever i think of her .,"on average , i would say about n um percent at first , but it is perhaps n um percent once you get to know the person .",1,2,1,1.3333333333333333
because she  kept throw ing the w ' s away .,it is because e nglish is an odd language when compared to other languages .,3,2,1,2.0
"yes , i also heard that they broke up .","they always have p izza around , too .",1,4,4,3.0
"your mother is so daft , that she thought a laws uit was something you wear to court .",i met a girl and i want to know if she likes me or not .,4,4,1,3.0
"is it just me , or does this seem a bit wrong to you also ?",my mother also has cancer and this just gets me emotional .,4,2,1,2.3333333333333335
how do you drown a blonde ?,i think he should not be allowed on the air .,2,1,3,2.0
if you are going to play the game you must learn to play correctly .,i would estimate approximately three or four .,3,4,2,3.0
jay  z is a better rapper then bow wow .,"family is the best , the monkey makes the show great !",4,1,4,3.0
"a ce was good tonight , but not at this best .",i continue to watch the show ' s reruns .,1,1,1,1.0
i am sure that was a kiss .,"whatever you do , be sure that you do not get c aught up in their disagreements .",4,4,4,4.0
"you daughter is be having immature ly , and you should tell her so and then ref rain from further comments .",someone who loves you should consider your feelings .,3,1,2,2.0
sell l the baby to the movies .,"he was n ' t original , i hope he doesn ' t win , i ' d be upset .",1,3,1,1.6666666666666667
send him a post card from bo ra bo ra .,"i will not allow you to reach me , either .",1,1,1,1.0
"you do not have to wait at all , if they gave you their phone number .","it would be great , because he is strong , quick , funny , and he has somewhere in the ball park of , n um different types of arrow s .",3,4,2,3.0
