text_1,text_2,label_1,label_2,label_3,avg_score
the calzones are awesome and the lunch special they have is perfect .,the calzones are awful and the lunch special they have is pathetic .,1,4,1,2.0
"the food was mediocre at best , far too greasy and not cooked well .","the food was great , not too greasy and cooked well .",4,3,4,3.6666666666666665
"had one mediocre meal and said , `` we 'll try again `` .","had one great meal and said , `` we 'll try again . ''",2,2,4,2.6666666666666665
the food is worse than you find in the freezer section at walmart .,the food is way better than you find in the freezer section at walmart .,3,1,2,2.0
okay prices and great tastings at least once a month .,"awful prices , and not good tasting .",2,1,3,2.0
but let this story begin at noon today .,"story began at noon today , right on time",3,4,3,3.3333333333333335
said we could n't sit at the table if we were n't ordering dinner .,they said we could sit at the table with no hesitation,4,1,5,3.3333333333333335
it 's good solid food .,it 's not very substantial food .,4,1,1,2.0
food was alright maybe we should have ordered off the mexican menu .,"food was very good , we ordered off the mexican menu .",5,4,5,4.666666666666667
my jack and coke was seriously lacking .,my jack and coke was seriously popping .,4,2,4,3.3333333333333335
i looked around and there were still customers .,the place was empty with minimal customers !,4,2,3,3.0
every person enjoyed themselves and there was nothing but praise from our entire group .,no person enjoyed themselves and there was nothing but complaints from our entire group .,3,4,2,3.0
at this location the service was terrible .,at this location the service was awesome .,1,3,4,2.6666666666666665
"was n't busy , no biggie .","was busy , no biggie .",4,2,3,3.0
i like this place so much i have actually inquired about purchasing a franchise .,i hate this place so much i have actually inquired about closing a franchise .,2,1,4,2.3333333333333335
great selection of salads and pasta items in the deli .,there is n't a great selection of salads or pasta in the deli .,1,3,5,3.0
"seriously though , i have never shopped here .",i should shop here more often,4,2,1,2.3333333333333335
"absolutely terrible , do not order from this place .","absolutely fabulous , do order from this place .",4,5,5,4.666666666666667
this spot was my favorite indian restaurant .,such a great indian restaurant,4,4,4,4.0
the beans were in the burro in the rice was nowhere to be found .,the beans were in the burro and the rice was plentiful,3,1,5,3.0
nothing but excellent customer service every time i come here .,the customer service here leaves a lot to be desired .,1,3,4,2.6666666666666665
"the beer is n't bad , but the food was less than desirable .",beer and food were both great,2,2,4,2.6666666666666665
"no , i 'm not at a scottsdale club .",this was a great club,3,2,4,3.0
"lastly but not least , their brownie desert was ... meh .",the brownie dessert was to die for,1,2,1,1.3333333333333333
"the portions were huge , the food came out hot , fresh and good .","the portions were small , the food came out cold , old , and bland .",2,1,5,2.6666666666666665
got screwed at bar that we made reservations at next door .,great service at the bar we made reservations next door,3,1,5,3.0
they have the big massage chairs and each manicure station is fairly clean .,the chairs were small and disappointing,1,1,1,1.0
"amazing food , great service .","lousy food , slow service",1,3,3,2.3333333333333335
the art in the alley behind it is cool too !,the alley way art is scary,2,1,3,2.0
"plus he has amazing prices , how could you not go ?","the prices were on the high side , cheaper place nearby",1,3,1,1.6666666666666667
i ordered a cesar salad with a side of blackened chicken .,the ceasar salad and blackended chicken were to die for,2,4,3,3.0
great service by the staff .,"poor service , and awful staff .",3,1,1,1.6666666666666667
definitely disappointed that i could not use my birthday gift !,definitely not disappointed that i could use my birthday gift !,4,5,5,4.666666666666667
"oh sushi kee , how i love thee !","oh sushi kee , how i loathe thee !",3,5,1,3.0
this piece of shit gave me wonton crackers for my soup .,i had delicious crackers for my soup .,5,1,4,3.3333333333333335
that person didnt get their meal until everyone else was finished with their meal .,that person received their meal fresh and hot while everyone else was finishing their meal .,1,3,4,2.6666666666666665
"when i was finally there , i was very disappointed .",i had a great time once there,2,2,1,1.6666666666666667
very busy but very good service .,very busy and very bad service .,5,1,2,2.6666666666666665
"also , the food that is there is n't great even by buffet standards .",the food there is great compared to buffet standards .,3,1,1,1.6666666666666667
just do n't bother ordering anything if you 're seated .,i would recommend ordering something once you 're seated,1,3,3,2.3333333333333335
i love that this is the place in the comic - family circus .,i do n't like that the family circus is the place in the comics .,5,1,2,2.6666666666666665
